,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
12097,12097,12097,In Response,17.401688,14.215015,2020-07-16,"In recent years, advances in communications technology and market factors have led to a substantial expansion of telemedicine practice. One potential use of telemedicine is in disaster response, both as a resource for responders as well as a direct link to patients. The advantages of using telehealth to assist in disaster response are accompanied by important questions related to social impact, ethical implications, and regulatory oversight. A narrative review of several of these issues is presented here. The next steps in the development of a robust disaster telemedicine system will include the development of best practices and ethical guidelines agreed upon by all stakeholders, as well as the development of public-private partnerships geared at providing the highest quality disaster telemedicine to the greatest possible number of patients.","Tedeschi, Christopher",,631,1
60701,60701,60701,COVID 19 in neonates.,17.022314,14.080135,2020-05-18,"AIM The aim of this study was to analyse postoperative infection in patients undergoing surgery for Crohn's disease (CD) according to the use of preoperative immunosuppressants, including infliximab. METHOD With IRB approval, the records of all patients with CD who underwent abdominal surgery between 2001 and 2008 were reviewed for comorbidity, preoperative medication, type of surgery, stoma construction and postoperative complications. Patients were divided into three categories according to the preoperative medication within 90 days of surgery as follows: infliximab (IFX), other drugs including steroids and/or immunosuppressive agents (OD) and no drugs (ND). RESULTS Two hundred and twenty-five patients were identified. Preoperative comorbidity, surgical indication and type of surgery were not significantly different among the three groups. Ileocolic resection was the most common procedure [50.8%, IFX group; 61.2%, OD group; 41.3%, ND group (P = 0.09)]. Other procedures included total colectomy (16%), protectomy (15%) and others (18%). Laparoscopic surgery was performed in 47.7%, 45.9% and 29.3% of patients in the IFX, OD and ND groups, respectively (P = 0.04). There were no differences in postoperative rates of infection [pneumonia (P = 0.14), wound infection (P = 0.35), abscess (P = 0.34) or anastomotic leakage (P = 0.44)]. Reoperation was needed in 3.0%, 8.2% and 2.6% of patients in the IFX, OD and ND groups, respectively. Multiple logistic regression found no relationship between infliximab use and infection. CONCLUSION There was no difference in the rate of postoperative complications among the groups of patients undergoing surgery for CD pretreated with IFX or other immunosuppressive drugs.","Canedo, J; Lee, S-H; Pinto, R; Murad-Regadas, S; Rosen, L; Wexner, S D",Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,631,26
65060,65060,65060,Adjuvant 17-hydroxyprogesterone caproate in women withultrasound-indicated cerclage: a systematic review and meta-analysis.,17.078938,14.103614,2019,,"Admon, Lindsay K; Terplan, Mishka; Winkelman, Tyler N A",JAMA network open,631,30
80365,80365,80365,A speculated cause of respiratory inhibition in infants.,16.957767,14.065379,2018,"In this paper, we investigate how message construction, style, content, and the textual content of embedded images impacted message retransmission over the course of the first 8 months of the coronavirus disease 2019 (COVID-19) pandemic in the United States. We analyzed a census of public communications (n = 372,466) from 704 public health agencies, state and local emergency management agencies, and elected officials posted on Twitter between January 1 and August 31, 2020, measuring message retransmission via the number of retweets (ie, a message passed on by others), an important indicator of engagement and reach. To assess content, we extended a lexicon developed from the early months of the pandemic to identify key concepts within messages, employing it to analyze both the textual content of messages themselves as well as text included within embedded images (n = 233,877), which was extracted via optical character recognition. Finally, we modelled the message retransmission process using a negative binomial regression, which allowed us to quantify the extent to which particular message features amplify or suppress retransmission, net of controls related to timing and properties of the sending account. In addition to identifying other predictors of retransmission, we show that the impact of images is strongly driven by content, with textual information in messages and embedded images operating in similar ways. We offer potential recommendations for crafting and deploying social media messages that can ""cut through the noise"" of an infodemic.","Renshaw, Scott Leo; Mai, Sabrina; Dubois, Elisabeth; Sutton, Jeannette; Butts, Carter T",Health security,631,22
95790,95790,95790,Stress levels among an international sample of pregnant and postpartum women during the COVID-19 pandemic.,16.942415,14.078051,2021-06-22,,"Shammas, Nicolas W",Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,631,1
100953,100953,100953,Rectovaginal group B streptococcus colonization among pregnant women in Nicaragua: a systematic review and meta-analysis.,16.98495,14.071027,2019,,"Casigliani, Virginia; De Nard, Francesca; De Vita, Erica; Arzilli, Guglielmo; Grosso, Francesca Maria; Quattrone, Filippo; Tavoschi, Lara; Lopalco, Pierluigi",BMJ,631,26
106661,106661,106661,Reliability of pulse oximetry in hypoxic newborn pigs.,17.007135,14.085989,2014,,"Erolin, Caroline",Journal of visual communication in medicine,631,17
123712,123712,123712,Changes in psychological status of postpartum women due to the COVID-19 pandemic in Japan.,16.970695,14.18399,2020-09-03,"This article contextualizes and challenges race, class, and gender inequity in psychiatric use of force. In particular, this article examines (1) how uses of force-seclusion, restraint, compulsion-have been codified in policy and law, (2) inequity in force utilization, and (3) connections between systemic oppression and individuals' responses-including fear and retraumatization-to feeling threatened by force in clinical settings. This article proposes multilevel strategies to abolish inequity in uses of force in clinical settings and questions whether it is ever possible to use force compassionately where inequity persists.","Bhattacharyya, Sriya; Breslow, Aaron S; Carrasco, Jianee; Cook, Benjamin",AMA journal of ethics,631,28
126181,126181,126181,MUC1 in mesenchymal-to-epithelial transition during human nephrogenesis: changing the fate of renal progenitor/stem cells?,16.989948,14.115409,2011,,"Kwegyir-Afful, Emma; Leigh, Jacqueline",British journal of nursing,631,1
178561,178561,178561,Parents under Lockdown: the Impacts of the COVID-19 Pandemic on Families,17.369734,2.301913,2021,"Pandemic COVID-19 has had a direct impact on the world of education. The limitation of the crowd in community activities in public places causes the world of education to maximize the use of information and communication technology as a medium for distance learning or online. This encourages educators/ teachers to formulate alternatives for distance learning media by adapting them according to the conditions of available facilities and infrastructure and mastering the use of a number of digital platforms that can be used as alternative learning media. This digital-based learning innovation training activity aims to introduce and assist the use of several digital learning media in one of the schools, namely SMK Lingua Prima Indralaya. Assessment of the success of the training held was carried out through a pretest and post-test. Assistance is carried out so that teachers understand and gain insight in formulating innovative learning methods in the implementation of the distance or online teaching and learning process. In this training, and assistance were carried out related to the use of audio podcasts, maximizing the function of social media and also designing materials with attractive and innovative PowerPoint templates. Keywords: digital based learning;effective learning;pandemic period","Marpaung, Zailani Surya; Widodo, Slamet; Semil, Nurmah; Mardianto, Mardianto; id,",Jurdimas (Jurnal Pengabdian Kepada Masyarakat) Royal,631,10
213991,213991,213991,In Response,17.369734,14.243084,2020,,"Haw, Jennie; Holloway, Kelly; Masser, Barbara M; Merz, Eva-Maria; Thorpe, Rachel",Vox sang,631,1
213992,213992,213992,In Response,17.385881,14.238222,2020,"In the context of the global COVID-19 pandemic, blood collection agencies (BCAs) around the world are operating under unprecedented conditions. As social scientists in donor research in Canada, Australia, and the Netherlands, we provide some early observations on donor and public responses to the pandemic and identify areas for donor research moving forward. Given the significant variation among countries and BCAs, we cannot claim to present an exhaustive list that will apply to all countries and BCAs; however, we consider the following topic areas to be important based on our observations and knowledge of donation scholarship.","Haw, Jennie; Holloway, Kelly; Masser, Barbara M; Merz, Eva-Maria; Thorpe, Rachel",Vox sang,631,1
217922,217922,217922,X-FACT: A New Benchmark Dataset for Multilingual Fact Checking,17.355131,14.173862,2021-06-17,,"Dubbels, V. W.",Pharmazeutische Zeitung,631,24
223605,223605,223605,In Response,17.424408,14.228948,2020,,"Mallapaty, Smriti",Nature,631,11
255659,255659,255659,In Response,17.297882,14.304844,2020,"Earth is home not only to humans, but also to everything, including viruses. In the current globalization of coronavirus disease 2019 epidemic, the fluctuations of novel coronavirus makes epidemic prevention and control work normal, and the initiator of the accident, 2019 novel coronavirus, will coexist with human society for a long time. How we can coexist peacefully with them in this state is worth to thinking and studying.","Wu, Xiukun",Zhonghua Wei Zhong Bing Ji Jiu Yi Xue,631,9
255660,255660,255660,In Response,17.42134,14.336332,2020,"Earth is home not only to humans, but also to everything, including viruses. In the current globalization of coronavirus disease 2019 epidemic, the fluctuations of novel coronavirus makes epidemic prevention and control work normal, and the initiator of the accident, 2019 novel coronavirus, will coexist with human society for a long time. How we can coexist peacefully with them in this state is worth to thinking and studying.","Wu, Xiukun",Zhonghua Wei Zhong Bing Ji Jiu Yi Xue,631,20
