,title_x,publish_time_x,abstract,authors,journal,url,category
55058,Expression of SARS‐CoV‐2 Viroporins Triggers Cardiac Arrhythmia,2021-05-14,"Trillions of microbes exist in the human body, particularly the gastrointestinal tract, coevolved with the host in a mutually beneficial relationship. The main role of the intestinal microbiome is the fermentation of non-digestible substrates and increased growth of beneficial microbes that produce key antimicrobial metabolites such as short-chain fatty acids, etc., to inhibit the growth of pathogenic microbes besides other functions. Intestinal microbiota can prevent pathogen colonization through the mechanism of colonization resistance. A wide range of resistomes are present in both beneficial and pathogenic microbes. Giving antibiotic exposure to the intestinal microbiome (both beneficial and hostile) can trigger a resistome response, affecting colonization resistance. The following review provides a mechanistic overview of the intestinal microbiome and the impacts of antibiotic therapy on pathogen colonization and diseases. Further, we also discuss the epidemiology of immunocompromised patients who are at high risk for nosocomial infections, colonization and decolonization of multi-drug resistant organisms in the intestine, and the direct and indirect mechanisms that govern colonization resistance to the pathogens.","Shah, Taif; Baloch, Zulqarnain; Shah, Zahir; Cui, Xiuming; Xia, Xueshan",Int J Mol Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8235228/,822
60815,"A SARS-CoV-2 Peptide Spectral Library Enables Rapid, Sensitive Identification of Virus Peptides in Complex Biological Samples.",2021-03-08,"Corona virus disease 2019 started in December 2019 as an outbreak of unexplained pneumonias in Wuhan, a city in Hubei province of China. This illness emerged as an epidemic in China and later spread to almost all countries over the globe except Antarctica. This is caused by a beta Corona virus, which is genetically similar to SARS virus. The predominant mode of transmission is via droplet spread, when the infected person coughs, sneezes or talks the virus is released in the respiratory secretions. As there are only a few cases of COVID 19 in neonates, there is no convincing evidence to support the possibility of vertical transmission. Clinical presentation in neonates is nonspecific, commonly observed are temperature instability, respiratory distress, poor feeding, lethargy, vomiting and diarrhea. Laboratory examinations may be nonspecific. Definitive test for 2019-nCoV is the detection of viral nucleic acid by real-time fluorescence polymerase chain reaction (RT-PCR). Suspected and confirmed COVID positive mothers should be delivered in separate delivery rooms and operation theaters. Since there is no approved treatment or drug for this disease, prevention of infection and breaking the chain of transmission plays a crucial role.","Kallem, Venkat Reddy; Sharma, Deepak","The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",https://doi.org/10.1080/14767058.2020.1759542; https://www.ncbi.nlm.nih.gov/pubmed/32419544/,822
62104,The first SARS-CoV-2 genetic variants of concern (VOC) in Poland: The concept of a comprehensive approach to monitoring and surveillance of emerging variants.,2021-03-30,,"Kumar, Surjeet; Kumar Angurana, Suresh",Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies,https://doi.org/10.1097/pcc.0000000000002448; https://www.ncbi.nlm.nih.gov/pubmed/33136997/,822
63476,Correlates of Neutralization Against SARS-CoV-2 Variants of Concern by Early Pandemic Sera.,2021-04-23,"Severe acute respiratory syndrome (SARS) is a newly emerging infectious disease, and an effective vaccine is not available. In this study, we compared the immunogenicity and protection efficacy of recombinant proteins corresponding to different domains of the SARS-coronavirus spike protein. Trimeric recombinant proteins were created by fusing the foldon domain derived from T4 bacteriophage to the carboxy-termini of individual domains of the spike protein. While the full-length ectodomain (S) of the spike protein, the full-length ectodomain fused to foldon (S-foldon), the S1 domain (S1), S1-foldon, and the S2 domain(S2) antigens all elicited comparable antibody titers as measured by ELISA, S-foldon induced a significantly higher titer of neutralizing antibody and S2 protein did not elicit virus neutralizing antibodies. When tested in a mouse virus replication model, all the mice vaccinated with the S1, S1-foldon, S, or S-foldon were completely protected.","Li, Jie; Ulitzky, Laura; Silberstein, Erica; Taylor, Deborah R; Viscidi, Raphael",Viral immunology,https://doi.org/10.1089/vim.2012.0076; https://www.ncbi.nlm.nih.gov/pubmed/23573979/,822
66006,SARS-CoV-2 safety guidelines for frontline nurses.,2020-12-21,"AIMS To investigate changes in alcohol consumption during the first months of the COVID-19 pandemic in Europe as well as its associations with income and experiences of distress related to the pandemic. DESIGN Cross-sectional on-line survey conducted between 24 April and 22 July 2020. SETTING Twenty-one European countries. PARTICIPANTS A total of 31 964 adults reporting past-year drinking. MEASUREMENTS Changes in alcohol consumption were measured by asking respondents about changes over the previous month in their drinking frequency, the quantity they consumed and incidence of heavy episodic drinking events. Individual indicators were combined into an aggregated consumption-change score and scaled to a possible range of -1 to +1. Using this score as the outcome, multi-level linear regressions tested changes in overall drinking, taking into account sampling weights and baseline alcohol consumption [Alcohol Use Disorder Identification Test (AUDIT-C)] and country of residence serving as random intercept. Similar models were conducted for each single consumption-change indicator. FINDINGS The aggregated consumption-change score indicated an average decrease in alcohol consumption of -0.14 [95% confidence interval (CI) = -0.18, -0.10]. Statistically significant decreases in consumption were found in all countries, except Ireland (-0.08, 95% CI = -0.17, 0.01) and the United Kingdom (+0.10, 95% CI = 0.03, 0.17). Decreases in drinking were mainly driven by a reduced frequency of heavy episodic drinking events (-0.17, 95% CI = -0.20, -0.14). Declines in consumption were less marked among those with low- or average incomes and those experiencing distress. CONCLUSIONS On average, alcohol consumption appears to have declined during the first months of the COVID-19 pandemic in Europe. Both reduced availability of alcohol and increased distress may have affected consumption, although the former seems to have had a greater impact in terms of immediate effects.","Kilian, Carolin; Rehm, Jürgen; Allebeck, Peter; Braddick, Fleur; Gual, Antoni; Barták, Miroslav; Bloomfield, Kim; Gil, Artyom; Neufeld, Maria; O'Donnell, Amy; Petruželka, Benjamin; Rogalewicz, Vladimir; Schulte, Bernd; Manthey, Jakob",Addiction,https://doi.org/10.1111/add.15530; https://www.ncbi.nlm.nih.gov/pubmed/34109685/,822
94393,SARS-CoV-2 safety: Guidelines for shielding frontline nurses.,2021-02-09,"BACKGROUND In the midst of the Covid-19 pandemic, healthcare workers increasingly encounter serious ethical issues that negatively affect their professionalism. PURPOSE The study aims to examine the ethical sensitivity levels of physicians and nurses working in surgical units during the Covid-19 pandemic and the associating factors. METHOD The sample of this cross-sectional online questionnaire-based study consists of 161 healthcare workers working at the surgical units in Turkish hospitals. The data were collected using the ""Nurse Descriptive Information Form"" developed by the researchers and the ""Ethical Sensitivity Questionnaire."" ETHICAL CONSIDERATIONS Approval was granted by the ethics committee. Verbal and written consent was received from the healthcare workers. RESULTS Ethical sensitivity in the dimension of conflict was found to be higher in healthcare workers who had ethical issues during the Covid-19 pandemic, who were married, who were nurses, who worked more than 45 h, and who had a work experience of 7-10 years (p < 0.05). Healthcare workers with a family member diagnosed with Covid-19 had high ethical sensitivity in the dimension of conflict (p = 0.008), while those who reported being fully competent and ready (p = 0.038) about Covid-19 were found to have low ethical sensitivity. Besides, those who experienced inadequate supplies (p = 0.045), long working hours (p = 0.038), and problems in asepsis-sterilization (p = 0.046) during the Covid-19 pandemic were found to have low sensitivity in the holistic approach dimension. CONCLUSION The study revealed that ethical issues during the Covid-19 pandemic, sociodemographic characteristics, knowledge-skills about Covid-19, and the problems encountered in the work environment during the pandemic affect the ethical sensitivity of healthcare workers in the dimensions of conflict and holistic approach. Therefore, it is recommended that governments and all healthcare workers, and stakeholders in the health system in our country and other countries take action to promote ethical sensitivity in response to the rapidly increasing epidemic by considering the factors that adversely affect ethical sensitivity.","Mert, Selda; Sayilan, Aylin Aydin; Karatoprak, Ayfer Peker; Baydemir, Canan",Nursing ethics,https://doi.org/10.1177/09697330211003231; https://www.ncbi.nlm.nih.gov/pubmed/33910398/,822
104193,Bispecific IgG neutralizes SARS-CoV-2 variants and prevents escape in mice.,2021-03-25,"The rapid spread of SARS-CoV-2 (COVID-19) since December 2019 forced Intensive Care Units to face high numbers of patients admitted simultaneously with limited resources. COVID-19 critically ill patients, especially those on mechanical ventilators, demand special attention as they can develop potential complications with critical hemodynamic and respiratory consequences. Point of Care Ultrasound (POCUS) might have important roles in assessing the critically ill SARS-CoV-2 patient. Mostly, lung ultrasound has been presented as having a role in diagnosis and monitoring, but airway examination and hemodynamic evaluation are of interest also. We propose an A.B.C. POCUS approach focusing on A-airway (orotracheal intubation), B-breathing (interstitial syn-dromes, pneumothorax, atelectasis, pneumonia), and C-circulation (cardiac function, pulmonary embolism, volume status, deep veins thrombosis). This A.B.C. approach has emerged during ICU care for 22 adult COVID-19 critically ill patients, along with the analysis of recent papers describing ultrasound in COVID-19 patients including the use of ultrasound that is currently applied in the management of the general critically ill population. This A.B.C- POCUS algorithm parallels the well-established clinical A.B.C. algorithms. There are few extensive ultrasonographic studies in COVID-19 critically ill patients up to now, but techniques extrapolated from non-COVID studies seem reasonable even though comparative studies are not available yet.","Simon, Robert; Petrișor, Cristina; Bodolea, Constantin; Csipak, Gabriela; Oancea, Cristian; Golea, Adela",Medical ultrasonography,https://doi.org/10.11152/mu-2733; https://www.ncbi.nlm.nih.gov/pubmed/33245734/,822
112687,Mutation-specific SARS-CoV-2 PCR Screen: Rapid and Accurate Detection of Variants of Concern and the Identification of a Newly Emerging Variant with Spike L452R Mutation.,2021-05-19,"The coronavirus nucleocapsid (N) protein plays an essential role in virion assembly via interactions with the large, positive-strand RNA viral genome and the carboxy-terminal endodomain of the membrane protein (M). To learn about the functions of N protein domains in the coronavirus mouse hepatitis virus (MHV), we replaced the MHV N gene with its counterpart from the closely related bovine coronavirus (BCoV). The resulting viral mutant was severely defective, even though individual domains of the N protein responsible for N-RNA, N-M, or N-N interactions were completely interchangeable between BCoV and MHV. The lesion in the BCoV N substitution mutant could be compensated for by reverting mutations in the central, serine- and arginine-rich (SR) domain of the N protein. Surprisingly, a second class of reverting mutations were mapped to the amino terminus of a replicase subunit, nonstructural protein 3 (nsp3). A similarly defective MHV N mutant bearing an insertion of the SR region from the severe acute respiratory syndrome coronavirus N protein was rescued by the same two classes of reverting mutations. Our genetic results were corroborated by the demonstration that the expressed amino-terminal segment of nsp3 bound selectively to N protein from infected cells, and this interaction was RNA independent. Moreover, we found a direct correlation between the N-nsp3 interaction and the ability of N protein to stimulate the infectivity of transfected MHV genomic RNA (gRNA). Our results suggest a role for this previously unknown N-nsp3 interaction in the localization of genomic RNA to the replicase complex at an early stage of infection.","Hurst, Kelley R; Ye, Rong; Goebel, Scott J; Jayaraman, Priya; Masters, Paul S",Journal of virology,https://doi.org/10.1128/jvi.01287-10; https://www.ncbi.nlm.nih.gov/pubmed/20660183/,822
130941,Neutralization of SARS-CoV-2 Variants of Concern Harboring Q677H.,2021-10-05,,"Ibrahim, Wael",CNS spectrums,https://doi.org/10.1017/s1092852920002205; https://www.ncbi.nlm.nih.gov/pubmed/33308356/,822
133396,BNT162b2-elicited neutralization of B.1.617 and other SARS-CoV-2 variants.,2021-06-10,,"O'Neill, Desmond J",BMJ,https://doi.org/10.1136/bmj.m2793; https://www.ncbi.nlm.nih.gov/pubmed/32661065/,822
150268,Spike mutation D614G alters SARS-CoV-2 fitness.,2020-10-26,"The COVID-19 pandemic has illuminated many painful truths in our state. This commentary addresses some of them, including racism, lack of universal health care access, and defunded public health infrastructure, from the perspective of a local county health department medical director. We have an opportunity to fundamentally improve North Carolinians' collective health, but only if we are willing to reckon with past and current failings.","Pettigrew, Erica",North Carolina medical journal,https://doi.org/10.18043/ncm.82.1.43; https://www.ncbi.nlm.nih.gov/pubmed/33397754/,822
156025,Mutation profile of over 4500 SARS-CoV-2 isolations reveals prevalent cytosine-to-uridine deamination on viral RNAs.,2020-09-01,"BACKGROUND The management of acute thrombosis of inferior vena cava (AT-IVC) has evolved to catheter-based therapies, the results of which remain uncertain. We report our institution's experience treating AT-IVC using endovascular methods. METHODS A 10-year retrospective review of patients presenting with symptomatic IVC thrombosis between the years 2005 and 2014 was performed. Demographic data, treatment modalities, and outcomes were reviewed. RESULTS Twenty-five patients (44% men) underwent treatment for acute (<2 weeks) symptomatic IVC thrombosis. Presenting symptoms included pain and limb swelling in 23 (92%), motor dysfunction in 16 (64%), sensory loss in 14 (56%), and pulmonary embolism (PE) in 2 (8%) patients. Phlegmasia cerulea dolens was present in 5 patients, a history of malignancy was identified in 7 patients, and 21 patients had an IVC filter at presentation (Trapease 12, G2X 3, Option 2, Eclipse 2, Meridian 2). Four patients had a documented hypercoagulable state, 21 patients underwent venous angioplasty, and 7 (28%) patients underwent venous stenting of the IVC or iliofemoral veins. Significant (>50% luminal gain) angiographic resolution of venous thrombus was achieved in all 25 patients. Twenty-one (84%) patients reported moderate-to-complete symptomatic improvement immediately after completion of the procedures. Two patients had a clinically symptomatic PE and 1 patient underwent an above-knee amputation secondary to venous gangrene. Other complications included 6 minor bleeding complications (2 local hematoma, 4 hematuria) all of which resolved spontaneously. There were 2 major bleeding complications (1 disseminated intravascular coagulation, 1 retroperitoneal hematoma). CONCLUSIONS Endovascular treatment of AT-IVC, regardless of etiology, is safe and effective with excellent short-term clinical results. An aggressive endovascular approach to treatment of AT-IVC is warranted even in the presence of a thrombosed vena cava filter.","Nagarsheth, Khanjan H; Sticco, Charles; Aparajita, Ritu; Schor, Jonathan; Singh, Kuldeep; Zia, Saqib; Deitch, Jonathan",Annals of vascular surgery,https://doi.org/10.1016/j.avsg.2015.04.076; https://www.ncbi.nlm.nih.gov/pubmed/26130433/,822
162865,SARS-CoV-2 Genomic Surveillance Reveals Little Spread Between a Large University Campus and the Surrounding Community,2021-07-22,"Older adults ([≥]65 years of age) bear a significant burden of severe disease and mortality associated with influenza, despite relatively high annual vaccination coverage and substantial pre-existing immunity to influenza. To test the hypothesis that host factors, including age and sex, play a role in determining the effect of repeat vaccination and levels of pre-existing humoral immunity to influenza, we evaluated pre- and post-vaccination strain-specific hemagglutination inhibition (HAI) titers in adults over 75 years of age who received a high-dose influenza vaccine in at least four out of six influenza seasons (NCT02200276). Neither age, sex, body mass index, frailty, nor repeat vaccination were significantly associated with post-vaccination HAI titer outcomes. Pre-vaccination titers, however, were significantly predictive of post-vaccination outcomes. Pre-vaccination titers to H1N1 remained constant with age, while those to H3N2 and influenza B decreased substantially with age in males but not in females. Our findings highlight the importance of pre-existing immunity in this highly vaccinated older adult population and suggest that older males are particularly vulnerable to reduced pre-existing humoral immunity to influenza from previous annual vaccination.","Shapiro, J. R.; Li, H.; Morgan, R.; Chen, Y.; Kuo, H.; Ning, X.; Shea, P.; Wu, C.; Merport, K.; Saldanha, R.; Liu, S.; Abrams, E.; Kelly, D. C.; Sheridan-Malone, E.; Wang, L.; Zeger, S. L.; Klein, S.; Leng, S. X.",,http://medrxiv.org/cgi/content/short/2021.07.21.21260712v1?rss=1,822
165209,Mouse Antibodies with Activity Against the SARS-CoV-2 D614G and B.1.351 Variants,2021-07-07,"The rapid onset of the global COVID-19 pandemic has led to multiple challenges for accurately diagnosing the infection. One of the main bottlenecks for COVID-19 detection is reagent and material shortages for sample collection, preservation, and purification prior to testing. Currently, most authorized diagnostic tests require RNA extraction from patient samples and detection by reverse transcription polymerase chain reaction (RT-PCR). However, RNA purification is expensive, time consuming, and requires technical expertise to perform. Additionally, there have been reported shortages of the RNA purification kits needed for most tests. With these challenges in mind, we report on extraction-free amplification of SARS-CoV-2 RNA directly from patient samples. In addition, we have developed a multiplex RT-PCR using the CDC singleplex targets. This multiplex has a limit of detection of 2 copies/L. We have demonstrated these improvements to the current diagnostic workflow, which reduce complexity and cost, minimize reagent usage, expedite time to results, and increase testing capacity.","Byrnes, Samantha A.; Gallagher, Ryan; Steadman, Amy; Bennett, Crissa; Rivera, Rafael; Ortega, Corrie; Motley, S. Timothy; Jain, Paras; Weigl, Bernhard H.; Connelly, John T.",,https://doi.org/10.1101/2020.05.21.20106195,822
