,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
1489,1489,1489,Core Self-Evaluations Mediate the Associations of Dispositional Optimism and Life Satisfaction,18.632778,4.072025,2014-06-09,"BACKGROUND: Positive traits, such as life satisfaction, optimism, and core self-evaluation (CSE), have garnered increasing attention from researchers and professionals. However, the trilateral relationship among them remains unclear. OBJECTIVE: This study examines the effect of dispositional optimism on life satisfaction and primarily verified the mediator role of CSEs. METHODS: Six hundred thirty college students from two general universities completed a questionnaire packet containing life orientation test–revised (LOT–R), core self-evaluations, and satisfaction with life scale. Confirmatory factor analysis (CFA) was conducted to assess the dimension of LOT–R. Bootstrap was used in structural equation modeling to analyze mediation effect. RESULTS: Results revealed that dispositional optimism and core self-evaluations were significantly correlated with life satisfaction. CFA identified the bidimensional structure of dispositional optimism. SEM indicated that core self-evaluations partially mediated the effect of dispositional optimism on life satisfaction. The final model also revealed significant paths from optimism and pessimism to life satisfaction through core-self evaluations. CONCLUSION: The findings extended prior studies and shed light on how dispositional optimism influences life satisfaction. This study provides valuable evidence on how to promote the life satisfaction of human beings in positive psychology. A further study can fully explore the relationship among them in multi-cultural follow-up studies.","Jiang, Wensheng; Li, Fei; Jiang, Haipeng; Yu, Lili; Liu, Wenbo; Li, Qiang; Zuo, Luning",PLoS One,300,1
5769,5769,5769,The epidemiology of the systemic inflammatory response,18.963966,10.484585,2000,"BACKGROUND: A growing body of research has demonstrated the presence of ongoing cognitive impairment in large numbers of ICU survivors. OBJECTIVE: This review offers a practical framework for practicing intensivists and those following patients after their ICU stay for the identification of cognitive impairment in ICU survivors. CONCLUSIONS: Early detection of cognitive impairment in critically ill patients is an important and achievable goal, but overt cognitive impairment remains unrecognized in most cases. However, it can be identified by objective (test scores) or subjective evidence (clinical judgment, patient observation, family interaction).","Gordon, Sharon M.; Jackson, James C.; Ely, E. Wesley; Burger, Candace; Hopkins, Ramona O.",Intensive Care Med,300,12
9877,9877,9877,Unity amidst uncertainty: COVID-19 pandemic fosters collaboration in rheumatology community,18.764227,3.7627,2020-04-16,,"Stone, Patricia W.",Am J Infect Control,300,24
13454,13454,13454,Community Pharmacists’ Perceptions of Patient Care Services within an Enhanced Service Network,18.899742,3.740629,2020-09-16,"Background: The neural basis of treatment-resistant schizophrenia (TRS) remains unclear. Previous neuroimaging studies suggest that aberrant connectivity between the anterior cingulate cortex (ACC) and default mode network (DMN) may play a key role in the pathophysiology of TRS. Thus, we aimed to examine the connectivity between the ACC and posterior cingulate cortex (PCC), a hub of the DMN, computing isolated effective coherence (iCoh), which represents causal effective connectivity. Methods: Resting-state electroencephalogram with 19 channels was acquired from seventeen patients with TRS and thirty patients with non-TRS (nTRS). The iCoh values between the PCC and ACC were calculated using sLORETA software. We conducted four-way analyses of variance (ANOVAs) for iCoh values with group as a between-subject factor and frequency, directionality, and laterality as within-subject factors and post-hoc independent t-tests. Results: The ANOVA and post-hoc t-tests for the iCoh ratio of directionality from PCC to ACC showed significant findings in delta (t(45) = 7.659, p = 0.008) and theta (t(45) = 8.066, p = 0.007) bands in the left side (TRS < nTRS). Conclusion: Left delta and theta PCC and ACC iCoh ratio may represent a neurophysiological basis of TRS. Given the preliminary nature of this study, these results warrant further study to confirm the importance of iCoh as a clinical indicator for treatment-resistance.","Wada, Masataka; Nakajima, Shinichiro; Tarumi, Ryosuke; Masuda, Fumi; Miyazaki, Takahiro; Tsugawa, Sakiko; Ogyu, Kamiyu; Honda, Shiori; Matsushita, Karin; Kikuchi, Yudai; Fujii, Shinya; Blumberger, Daniel M.; Daskalakis, Zafiris J.; Mimura, Masaru; Noda, Yoshihiro",J Pers Med,300,13
14197,14197,14197,International growth of individual placement and support,18.955664,3.7714539,2020-11-13,"Compared with the ubiquitous expression of type I (IFNα and IFNβ) interferon receptors, type III (IFNλ) interferon receptors are mainly expressed in epithelial cells of mucosal barriers of the of the intestine and respiratory tract. Consequently, IFNλs are important for innate pathogen defense in the lung and intestine. IFNλs also determine the outcome of hepatitis C virus (HCV) infections, with IFNλ4 inhibiting spontaneous clearance of HCV. Because viral clearance is dependent on T cells, we explored if IFNλs can directly bind to and regulate human T cells. We found that human B cells and CD8(+) T cells express the IFNλ receptor and respond to IFNλs, including IFNλ4. IFNλs were not inhibitors but weak stimulators of B- and T-cell responses. Furthermore, IFNλ4 showed neither synergistic nor antagonistic effects in co-stimulatory experiments with IFNλ1 or IFNα. Multidimensional flow cytometry of cells from liver biopsies of hepatitis patients from IFNλ4-producers showed accumulation of activated CD8(+) T cells with a central memory-like phenotype. In contrast, CD8(+) T cells with a senescent/exhausted phenotype were more abundant in IFNλ4–non-producers. It remains to be elucidated how IFNλ4 promotes CD8 T-cell responses and inhibits the host immunity to HCV infections.","Coto-Llerena, Mairene; Lepore, Marco; Spagnuolo, Julian; Di Blasi, Daniela; Calabrese, Diego; Suslov, Aleksei; Bantug, Glenn; Duong, Francois HT; Terracciano, Luigi M; De Libero, Gennaro; Heim, Markus H",Life Sci Alliance,300,1
19320,19320,19320,Does Procrastination Always Predict Lower Life Satisfaction? A Study on the Moderation Effect of Self-Regulation in China and the United Kingdom,18.875795,3.8089476,2021-07-06,"Children with respiratory diseases take treatments for the self-management of symptoms and to maintain disease control. Often, these treatments need to be taken in social environments like school. Respiratory treatments can foster a feeling of difference and stigmatisation, which negatively impact on the quality of life and adherence to treatment. Such perceptions can lead to a less than optimal disease control, a vicious cycle leading to further social exclusion and stigma. This aspect of “burden of treatment” is poorly recognised by clinicians. Recognition of how treatments and clinical practice can contribute to stigma, can help address this burden of care. EDUCATIONAL AIMS: To understand the meaning of the term “stigma” within the context of respiratory health conditions and how medication or treatments can contribute to stigma in children and young people. To understand the potential impact of stigma on adherence, disease control and quality of life. To consider strategies to manage the stigma associated with health treatments across spheres of influence.","Kansra, Sonal; Calvert, Rachel; Jones, Steve",Breathe (Sheff),300,1
19491,19491,19491,"Strengths, Weaknesses, Opportunities, and Threats Analysis of Competencies and Building Skill Pyramid in the Subject of Community Medicine",18.949677,4.0958557,2021-05-29,,"Cavalli, Juliana; Dutra, Rafael Cypriano",Neural Regen Res,300,19
19602,19602,19602,Evaluation of Seizure Risk in Infants After Cardiopulmonary Bypass in the Absence of Deep Hypothermic Cardiac Arrest,18.798374,8.740128,2021-07-28,"BACKGROUND: Hyperchloremia and chloride load have been associated with worse clinical outcomes in critically ill patients. We sought to evaluate the electrolyte profile and clinical outcomes associated with a unit-wide transition from saline to balanced fluids for resuscitation and maintenance fluids in a pediatric intensive care unit (PICU). METHODS: A before and after analysis of all patients admitted to the PICU in a large, urban, academic hospital between August 2018 and March 2020. The transition from the use of saline to the use of balanced fluids for both resuscitation and maintenance fluid as standard care occurred in June 2019. The primary outcome was day 3 acute kidney injury (AKI). The secondary outcomes included mortality, ventilator-free days (VFDs), need for renal replacement therapy (RRT), hospital length of stay (LOS), and electrolyte abnormalities. RESULTS: Overall, 2863 patients (47% female) with a day 3 AKI rate of 12.9% (n = 130) and a mortality rate of 2.8% (n = 79) were included. After adjusting for confounders (age, PRISM III, mechanical ventilation, and immunocompromised state, septic shock), there were no significant differences in the odds of day 3 AKI (pre 13%, post 12.5%; adjusted odds ratio [aOR] 0.96, 95%CI 0.65–1.42). There were no differences in the secondary outcomes. The post-intervention period had fewer patients with hyperchloremia (pre 15.5% vs. post 10.4%, p = < 0.0001) and hyperkalemia (pre 3.2% vs. post 1.4%, p = 0.02) and more patients with hypochloremia (pre 9.5% vs. post 14.4%, p = < 0.0001) and hypokalemia (pre 38.2% vs. post 47.2%, p = < 0.0001). In reference to the normochloremic cohort, the hypochloremic cohort had an increase in day 3 AKI, need for RRT, hyperchloremia, and hyperkalemia, and a decrease in hypokalemia; and the hyperchloremic cohort had an increase in VFD and a decrease in hospital LOS. CONCLUSIONS: Following a unit-wide implementation of balanced fluids as standard care, there were no differences in rates of day 3 AKI or other clinical outcomes. However, there were lower rates of hyperkalemia and hyperchloremia and higher rates of hypokalemia and hypochloremia. Further evaluation of the effect of balanced fluids and the clinical significance of electrolyte abnormalities in critically ill children is needed. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s13054-021-03705-3.","Barhight, Matthew F.; Nelson, Delphine; Moran, Thomas; Christiano, Jessica; Sanchez-Pinto, L. Nelson",Crit Care,300,12
20772,20772,20772,Social Support Associated with Condom Use Behavior Among Female Sex Workers in Iran,18.895172,4.0692735,2021-09-02,"The nucleotide-binding domain, leucine-rich-repeat containing family, pyrin domain-containing 3 (NLRP3) inflammasome is essential in inflammation and inflammatory disorders. Phosphorylation at various sites on NLRP3 differentially regulates inflammasome activation. The Ser725 phosphorylation site on NLRP3 is depicted in multiple inflammasome activation scenarios, but the importance and regulation of this site has not been clarified. The present study revealed that the phosphorylation of Ser725 was an essential step for the priming of the NLRP3 inflammasome in macrophages. We also showed that Ser725 was directly phosphorylated by misshapen (Msn)/NIK-related kinase 1 (MINK1), depending on the direct interaction between MINK1 and the NLRP3 LRR domain. MINK1 deficiency reduced NLRP3 activation and suppressed inflammatory responses in mouse models of acute sepsis and peritonitis. Reactive oxygen species (ROS) upregulated the kinase activity of MINK1 and subsequently promoted inflammasome priming via NLRP3 Ser725 phosphorylation. Eliminating ROS suppressed NLRP3 activation and reduced sepsis and peritonitis symptoms in a MINK1-dependent manner. Altogether, our study reveals a direct regulation of the NLRP3 inflammasome by Msn family kinase MINK1 and suggests that modulation of MINK1 activity is a potential intervention strategy for inflammasome-related diseases.","Zhu, Kaixiang; Jin, Xuexiao; Chi, Zhexu; Chen, Sheng; Wu, Songquan; Sloan, Richard D.; Lin, Xuai; Neculai, Dante; Wang, Di; Hu, Hu; Lu, Linrong",Cell Mol Immunol,300,22
20909,20909,20909,"Transcultural adaptation and validation of a French version of the University of California, Los Angeles geriatrics attitudes scale (UCLA-GAS-F)",19.010508,3.9325297,2021-09-07,"Fifty years after the first humans stepped on the Moon, space faring nations have entered a new era of space exploration. NASA’s reference mission to Mars is expected to comprise 1100 days. Deep space exploratory class missions could even span decades. They will be the most challenging and dangerous expeditions in the history of human spaceflight and will expose crew members to unprecedented health and performance risks. The development of adverse cognitive or behavioral conditions and psychiatric disorders during those missions is considered a critical and unmitigated risk factor. Here, we argue that spatial cognition, i.e., the ability to encode representations about self-to-object relations and integrate this information into a spatial map of the environment, and their neural bases will be highly vulnerable during those expeditions. Empirical evidence from animal studies shows that social isolation, immobilization, and altered gravity can have profound effects on brain plasticity associated with spatial navigation. We provide examples from historic spaceflight missions, spaceflight analogs, and extreme environments suggesting that spatial cognition and its neural circuitry could be impaired during long-duration spaceflight, and identify recommendations and future steps to mitigate these risks.","Stahn, Alexander C.; Kühn, Simone",Cogn Process,300,1
21380,21380,21380,Perceptions from pharmaceutical stakeholders on how the pharmaceutical budget is allocated in South Africa,18.574545,3.695347,2021-09-21,,,Cardiovasc Intervent Radiol,300,1
