,title_x,publish_time_x,abstract,authors,journal,url,category
81,The Effectiveness of Contact Tracing in Emerging Epidemics,2006-12-20,"BACKGROUND: Contact tracing plays an important role in the control of emerging infectious diseases, but little is known yet about its effectiveness. Here we deduce from a generic mathematical model how effectiveness of tracing relates to various aspects of time, such as the course of individual infectivity, the (variability in) time between infection and symptom-based detection, and delays in the tracing process. In addition, the possibility of iteratively tracing of yet asymptomatic infecteds is considered. With these insights we explain why contact tracing was and will be effective for control of smallpox and SARS, only partially effective for foot-and-mouth disease, and likely not effective for influenza. METHODS AND FINDINGS: We investigate contact tracing in a model of an emerging epidemic that is flexible enough to use for most infections. We consider isolation of symptomatic infecteds as the basic scenario, and express effectiveness as the proportion of contacts that need to be traced for a reproduction ratio smaller than 1. We obtain general results for special cases, which are interpreted with respect to the likely success of tracing for influenza, smallpox, SARS, and foot-and-mouth disease epidemics. CONCLUSIONS: We conclude that (1) there is no general predictive formula for the proportion to be traced as there is for the proportion to be vaccinated; (2) variability in time to detection is favourable for effective tracing; (3) tracing effectiveness need not be sensitive to the duration of the latent period and tracing delays; (4) iterative tracing primarily improves effectiveness when single-step tracing is on the brink of being effective.","Klinkenberg, Don; Fraser, Christophe; Heesterbeek, Hans",PLoS One,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1762362/,58
5135,Land Use Change Special Feature Guest Editors,2019-12-11,,"Schratzenstaller, Margit",Wirtschaftsdienst,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7087840/,58
5215,The long arm of climate change: societal teleconnections and the future of climate change impacts studies,2015-01-28,"In this proof-of-concept study, we attempt to determine whether the cause-mutation relationship defined by randomness is protein dependent by predicting mutations in H5N1 neuraminidases from influenza A virus, because we have recently conducted several concept-initiated studies on the prediction of mutations in hemagglutinins from influenza A virus. In our concept-initiated studies, we defined the randomness as a cause for mutation, upon which we built a cause-mutation relationship, which is then switched into the classification problem because the occurrence and non-occurrence of mutations can be classified as unity and zero. Thereafter, we used the logistic regression and neural network to solve this classification problem to predict the mutation positions in hemagglutinins, and then used the amino acid mutating probability to predict the would-be-mutated amino acids. As the previous results were promising, we extend this approach to other proteins, such as H5N1 neuraminidase in this study, and further address various issues raised during the development of this approach. The result of this study confirms that we can use this cause-mutation relationship to predict the mutations in H5N1 neuraminidases.","Wu, G.; Yan, S.",Amino Acids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088166/,58
5529,Securing the food supply chain: understanding complex interdependence through agent-based simulation,2014-06-24,"BACKGROUND: Hirschsprung’s disease (HSCR) is a type of megacolon induced by deficiency or dysfunction of ganglion cells in the distal intestine and is associated with developmental disorders of the enteric nervous system. To explore the mechanisms of HSCR, we analyzed the RNA-sequencing data of the expansion and the narrow segments of colon tissues separated from children with HSCR. METHODS: RNA-sequencing of the expansion segments and the narrow segments of colon tissues isolated from children with HSCR was performed. After differentially expressed genes (DEGs) were identified using the edgeR package in R, functional and pathway enrichment analyses of DEGs were carried out using DAVID software. To further screen the key genes, protein-protein interaction (PPI) network and module analyses were conducted separately using Cytoscape software. RESULTS: A total of 117 DEGs were identified in the expansion segment samples, including 47 up-regulated and 70 down-regulated genes. Functional enrichment analysis suggested that FOS and DUSP1 were implicated in response to endogenous stimulus. In the PPI network analysis, FOS (degree=20), EGR1 (degree=16), ATF3 (degree=9), NOS1 (degree=8), CCL5 (degree=8), DUSP1 (degree=7), CXCL3 (degree=6), VIP (degree=6), FOSB (degree=5), and NOS2 (degree=4) had higher degrees, which could interact with other genes. In addition, two significant modules (module 1 and module 2) were identified from the PPI network. CONCLUSIONS: Several genes (including FOS, EGR1, ATF3, NOS1, CCL5, DUSP1, CXCL3, VIP, FOSB, and NOS2) might be involved in the development of HSCR through their effect on the nervous system.","Pan, Wei-Kang; Zhang, Ya-Fei; Yu, Hui; Gao, Ya; Zheng, Bai-Jun; Li, Peng; Xie, Chong; Ge, Xin",World J Pediatr,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7091079/,58
7296,Modeling Epidemics with Dynamic Small‐World Networks,2005-06-21,"It is important to predict the environment around the breathing human because inhalation of virus (avian influenza, SARS) is recently severe worldwide problem, and air pollution caused by diesel emission particle (DEP) and asbestos attract a great deal of attention. In the present study, three‐dimensional numerical simulation was carried out to predict unsteady flows around a breathing human and how suspended particulate matter (SPM, diameter∼1 μm) reaches the human nose in inhalation and exhalation. In the calculation, we find out smaller breathing angle and the closer distance between the human nose and pollutant region are effective in the inhalation of SPM.","Shimazaki, Yasuhiro; Okubo, Masaaki; Yamamoto, Toshiaki",AIP Conf Proc,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7108767/,58
7310,A model for HIV/AIDS pandemic with optimal control,2015-05-15,"The innate immune system plays a crucial role in the host defense against viral and microbial infection. Exosomes constitute a subset of extracellular vesicles (EVs) that can be released by almost all cell types. Owing to their capacity to shield the payload from degradation and to evade recognition and subsequent removal by the immune system, exosomes efficiently transport functional components to recipient cells. Accumulating evidence has recently shown that exosomes derived from tumor cells, host cells and even bacteria and parasites mediate the communication between the invader and innate immune cells and thus play an irreplaceable function in the dissemination of pathogens and donor cell-derived molecules, modulating the innate immune responses of the host. In this review, we describe the current understanding of EVs (mainly focusing on exosomes) and summarize and discuss their crucial roles in determining innate immune responses. Additionally, we discuss the potential of using exosomes as biomarkers and cancer vaccines in diagnostic and therapeutic applications.","Zhou, Xiaoxue; Xie, Feng; Wang, Lin; Zhang, Long; Zhang, Suping; Fang, Meiyu; Zhou, Fangfang",Cell Mol Immunol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7109106/,58
10698,"Functional richness of local hoverfly communities (Diptera, Syrphidae) in response to land use across temperate Europe",2006-12-13,"Two methods are used to examine feeding strategies in graploloids; the first profiles different sets of zooids on the colony, the second treats the colony as a whole. Both of these techniques have advantages. The choice between them brings into question our concepts of the degree of coloniality shown by graptoloids. Using a whole colony model. graptoloids can be shown to have sampled the water with variable efficiency. as defined in this paper. Planar forms were relatively inefficient, generally sampling less than 10% of the available water. Inclined forms frequently approached 75% efficiency. Biserial forms and strdight monograptids roulinely exceeded 100%. sampling each unit of water more than once. Rotation of the rhabdosome during movement increased the efficiency of horizontal and inclined forms. It reduced the efficiency of scandent biserials and straight monograptids. These were both advantageous effects. Astogenetic changes in colony size and form would have had a profound effect on feeding efficiency.□Graptoloid, ecology, astogeny","RIGBY, SUSAN",Lethaia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7194158/,58
18135,Learning From Clinical Consensus Diagnosis in India to Facilitate Automatic Classification of Dementia: Machine Learning Study,2021-05-10,"Rifampicin (RIF) is one of the most important first-line anti-tuberculosis (TB) drugs, and more than 90% of RIF-resistant (RR) Mycobacterium tuberculosis clinical isolates belong to multidrug-resistant (MDR) and extensively drug-resistant (XDR) TB. In order to identify specific candidate target proteins as diagnostic markers or drug targets, differential protein expression between drug-sensitive (DS) and drug-resistant (DR) strains remains to be investigated. In the present study, a label-free, quantitative proteomics technique was performed to compare the proteome of DS, RR, MDR, and XDR clinical strains. We found iniC, Rv2141c, folB, and Rv2561 were up-regulated in both RR and MDR strains, while fadE9, espB, espL, esxK, and Rv3175 were down-regulated in the three DR strains when compared to the DS strain. In addition, lprF, mce2R, mce2B, and Rv2627c were specifically expressed in the three DR strains, and 41 proteins were not detected in the DS strain. Functional category showed that these differentially expressed proteins were mainly involved in the cell wall and cell processes. When compared to the RR strain, Rv2272, smtB, lpqB, icd1, and folK were up-regulated, while esxK, PPE19, Rv1534, rpmI, ureA, tpx, mpt64, frr, Rv3678c, esxB, esxA, and espL were down-regulated in both MDR and XDR strains. Additionally, nrp, PPE3, mntH, Rv1188, Rv1473, nadB, PPE36, and sseA were specifically expressed in both MDR and XDR strains, whereas 292 proteins were not identified when compared to the RR strain. When compared between MDR and XDR strains, 52 proteins were up-regulated, while 45 proteins were down-regulated in the XDR strain. 316 proteins were especially expressed in the XDR strain, while 92 proteins were especially detected in the MDR strain. Protein interaction networks further revealed the mechanism of their involvement in virulence and drug resistance. Therefore, these differentially expressed proteins are of great significance for exploring effective control strategies of DR-TB.","Ullah, Nadeem; Hao, Ling; Banga Ndzouboukou, Jo-Lewis; Chen, Shiyun; Wu, Yaqi; Li, Longmeng; Borham Mohamed, Eman; Hu, Yangbo; Fan, Xionglin",Pathogens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8157059/,58
21450,Forecasting care seekers satisfaction with telemedicine using machine learning and structural equation modeling,2021-09-24,,,China CDC Wkly,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8393058/,58
21626,Understanding Changes in the Topology and Geometry of Financial Market Correlations during a Market Crash,2021-09-14,"Among the various methods used to improve the sound absorption capability of wood, we focused on delignification in Indonesian momala (Homalium foetidum) and Korean red toon (Toona sinensis). We performed gas permeability, pore size, and porosity analyses and evaluated how the change in the pore structure affects the sound absorption capabilities. Results show that delignification increased the through-pore porosity and improved sound absorption capability in both species. In addition, the air gap in the rear space maximized the sound absorption of momala and the red toon. The noise reduction coefficient (NRC) of delignified momala (90 min) with a 3 cm air gap was 0.359 ± 0.023. This is approximately 154.6% higher than that of untreated momala without an air gap. The NRC of delignificated red toon (90 min) with a 3 cm air gap was 0.324 ± 0.040, an increase of 604.3% over untreated red toon without an air gap.","Jang, Eun-Suk; Kang, Chun-Won",Materials (Basel),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8468009/,58
