,title_x,publish_time_x,abstract,authors,journal,url,category
2087,Abdominal Muscle Activity during Mechanical Ventilation Increases Lung Injury in Severe Acute Respiratory Distress Syndrome,2016-01-08,"OBJECTIVE: It has proved that muscle paralysis was more protective for injured lung in severe acute respiratory distress syndrome (ARDS), but the precise mechanism is not clear. The purpose of this study was to test the hypothesis that abdominal muscle activity during mechanically ventilation increases lung injury in severe ARDS. METHODS: Eighteen male Beagles were studied under mechanical ventilation with anesthesia. Severe ARDS was induced by repetitive oleic acid infusion. After lung injury, Beagles were randomly assigned into spontaneous breathing group (BIPAP(SB)) and abdominal muscle paralysis group (BIPAP(AP)). All groups were ventilated with BIPAP model for 8h, and the high pressure titrated to reached a tidal volume of 6ml/kg, the low pressure was set at 10 cmH(2)O, with I:E ratio 1:1, and respiratory rate adjusted to a PaCO(2) of 35–60 mmHg. Six Beagles without ventilator support comprised the control group. Respiratory variables, end-expiratory volume (EELV) and gas exchange were assessed during mechanical ventilation. The levels of Interleukin (IL)-6, IL-8 in lung tissue and plasma were measured by qRT-PCR and ELISA respectively. Lung injury scores were determined at end of the experiment. RESULTS: For the comparable ventilator setting, as compared with BIPAP(SB) group, the BIPAP(AP) group presented higher EELV (427±47 vs. 366±38 ml) and oxygenation index (293±36 vs. 226±31 mmHg), lower levels of IL-6(216.6±48.0 vs. 297.5±71.2 pg/ml) and IL-8(246.8±78.2 vs. 357.5±69.3 pg/ml) in plasma, and lower express levels of IL-6 mRNA (15.0±3.8 vs. 21.2±3.7) and IL-8 mRNA (18.9±6.8 vs. 29.5±7.9) in lung tissues. In addition, less lung histopathology injury were revealed in the BIPAP(AP) group (22.5±2.0 vs. 25.2±2.1). CONCLUSION: Abdominal muscle activity during mechanically ventilation is one of the injurious factors in severe ARDS, so abdominal muscle paralysis might be an effective strategy to minimize ventilator-induce lung injury.","Zhang, Xianming; Wu, Weiliang; Zhu, Yongcheng; Jiang, Ying; Du, Juan; Chen, Rongchang",PLoS One,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4712828/,338
2975,Possible therapeutic effect of orally administered ribavirin for respiratory syncytial virus-induced acute respiratory distress syndrome in an immunocompetent patient: a case report,2017-12-20,"BACKGROUND: Human respiratory syncytial virus usually causes self-limiting upper respiratory infection and occasionally causes pneumonia in immunocompromised hosts. Respiratory syncytial virus-induced severe pneumonia or acute respiratory distress syndrome in immunocompetent adults has been rarely described. Unfortunately, optimal treatment has not been established for this potentially fatal condition. We report a case of respiratory syncytial virus-induced acute respiratory distress syndrome occurring in a previously healthy man successfully treated with orally administered ribavirin. CASE PRESENTATION: An 81-year-old previously healthy Korean man presented with cough, dyspnea, and febrile sensation. He had hypoxemia with diffuse ground glass opacity evident on chest radiography, which progressed and required mechanical ventilation. All microbiological tests were negative except multiplex real-time reverse transcriptase polymerase chain reaction using respiratory specimen, which was positive for human adenovirus. Under the diagnosis of respiratory syncytial virus-induced acute respiratory distress syndrome, orally administered ribavirin was administered and he recuperated completely without complications. CONCLUSION: This case demonstrates the potential usefulness of orally administered ribavirin as a therapeutic option for severe respiratory syncytial virus infection, at least in an immunocompetent host.","Yoon, Byung Woo; Lee, Seung Hyeun",J Med Case Rep,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5738173/,338
6751,Heat shock protein 70 and the acute respiratory distress syndrome,2005,"Due to growing interest in murine functional genomics research, there is an increasing need for physiological stable in vivo murine models. Of special importance is support and control of ventilation by artificial respiration, which is difficult to execute as a consequence of the small size of the animal and the technically demanding breathing pattern. In addition, numerous genetically altered mice show depressed spontaneous ventilation or impaired respiratory responses. After an introduction in murine respiratory physiology we describe options for ventilatory support, its monitoring and the potential side effects. This review will provide an overview on current possibilities in the field of airway support in mouse research.","Schwarte, L.A.; Zuurbier, C.J.; Ince, C.",Basic Res Cardiol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102075/,338
6939,T follicular regulatory cells infiltrate the human airways during the onset of acute respiratory distress syndrome and regulate the development of B regulatory cells,2018-07-27,,"Karzai, W.; Oberhoffer, M.; Meier-Hellmann, A.; Reinhart, K.",Infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102374/,338
17899,A Case of STEMI Masquerading Brugada Syndrome: Emphasizing the Importance of Clinical Decision Making in Emergencies,2021-05-20,"Regular physical activity is an important component of physical health of children and has been associated with increasing skeletal muscle mass and muscle strength. Children with low levels of physical activity may experience health problems, such as loss of muscle mass, later in life. Thus, it may be valuable to identify declining physical function in children who do not perform the recommended amount of physical activity. Therefore, we aimed to evaluate the relationship between the amount of physical activity performed for ≥60 min per day for ≥5 days per week and the skeletal muscle mass index and physical function in young children. In total, 340 typically developing children aged 6–12 years (175 girls; average age, 9.5±1.9 years) were included in this cross-sectional study. We evaluated the proportion of children performing the recommended minimum of 60 min of daily moderate-to-vigorous physical activity at least 5 days per week. The skeletal muscle mass and Gait Deviation Index scores, gait speed, grip strength, Five Times Sit-to-Stand test results, Timed Up-and-Go test results, one-leg standing time, and gait efficiency were evaluated. Multiple logistic regression analyses were performed to assess the association of moderate-to-vigorous physical activity with the skeletal muscle mass index, percent body fat, and physical function, after controlling for confounding factors (age and sex). A logistic regression analysis revealed that the skeletal muscle mass index was independently associated with moderate-to-vigorous physical activity (odds ratio, 2.34; 95% confidence interval, 1.17–4.71; P = 0.017). Performance of moderate-to-vigorous physical activity for ≥5 days per week for ≥60 min per day was associated with the skeletal muscle mass index score of Japanese children. Our findings highlighted the importance of performing moderate-to-vigorous physical activity for the development of skeletal muscle mass in children.","Ito, Tadashi; Sugiura, Hideshi; Ito, Yuji; Noritake, Koji; Ochi, Nobuhiko",PLoS One,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8153420/,338
24608,"Transfusion and Acute Respiratory Distress Syndrome: Clinical Epidemiology, Diagnosis, Management, and Outcomes",2016-06-11,"Durch das konsequente Einhalten und Anwenden der Standardhygienemaßnahmen lassen sich die meisten Transmissionen zwischen Patienten, aber auch Übertragungen auf das Personal vermeiden. Das folgende Kapitel widmet sich den Besonderheiten einzelner Erreger und Infektionskrankheiten und den ggf. erforderlichen zusätzlichen Schutzmaßnahmen. Es hilft bei der individuellen Risikoanalyse hinsichtlich Erregertyp, Übertragungsweg, Streupotenzial und exponierter Personen. Eine erregerspezifische Übersicht zum Nachschlagen ermöglicht eine schnelle Orientierung.","Schulz-Stübner, S.","Repetitorium Krankenhaushygiene, hygienebeauftragter Arzt und ABS-beauftragter Arzt",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120986/,338
29070,Dexamethasone: Acute respiratory distress syndrome secondary to Strongyloides stercoralis infection: case report,2015-02-07,"In this paper, we consider the valuation of longevity bonds under a regime-switching interest rate and a regimeswitching force of mortality model. The model assumes that the interest rate is driven by economic and environmental conditions described by a homogenous Markov chain and that the stochastic force of mortality is modeled by the sum of a regime-switching Gompertz–Makeham model and a regime-switching shot-noise process. Using the conditional Laplace transform of the regime-switching shot-noise process, we give a formula for the longevity bond price in terms of a couple of system partial differential equations. The pricing formula is also derived by using the concept of stochastic flows and the idea of change of measure.","Dong, Yinghui; Yuen, Kam C.; Wu, Chongfeng",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149022/,338
41944,"Successful treatment of severe pneumonia, pyopneumothorax with severe acute respiratory distress syndrome, and septic shock: a case report",2020-11-11,,,Reactions Weekly,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7648234/,338
42384,"Multisystem Inflammatory Syndrome in Children With COVID-19 in Mumbai, India",2020-08-11,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7675285/,338
43871,1345. Impact of the COVID-19 Pandemic on Pediatric Ambulatory Antibiotic Use in an Academic Health System,2020-12-31,"Background: Rheumatoid arthritis (RA) patients have a shorter life expectancy than the general population primarily due to cardiovascular comorbidities. Objectives: To characterize arterial aging in RA. Patients and Methods: Coronary calcium score (CCS) were available from 112 RA patients; out of these patients, follow-up CCS were measured for 54 randomly selected individuals. Control CCS were obtained from the MESA database (includes 6,000 < participants); arterial age was calculated from CCS. Results: RA patients were significantly older (10.45 ± 18.45 years, p < 0.001) in terms of the arterial age than the age-, gender-, and race-matched controls. The proportion of RA patients who had zero CCS was significantly less (p < 0.01) than that of those in the MESA reference group. Each disease year contributed an extra 0.395 years (p < 0.01) on the top of the normal aging process. However, the rate of the accelerated aging is not uniform, in the first years of the disease it is apparently faster. Smoking (p < 0.05), previous cardiovascular events (p < 0.05), and high blood pressure (p < 0.05) had additional significant effect on the aging process. In the follow-up study, inflammatory disease activity (CRP > 5 mg/L, p < 0.05) especially in smokers and shorter than 10 years of disease duration (p = 0.05) had the largest impact. Conclusion: Arterial aging is faster in RA patients than in control subjects, particularly in the first 10 years of the disease. Inflammation, previous cardiovascular events, and smoking are additional contributing factors to the intensified coronary atherosclerosis progression. These data support that optimal control of inflammation is essential to attenuate the cardiovascular risk in RA.","Mong, Nikolett; Tarjanyi, Zoltan; Tothfalusi, Laszlo; Bartykowszki, Andrea; Nagy, Aniko Ilona; Szekely, Anett; Becker, David; Maurovich-Horvat, Pal; Merkely, Bela; Nagy, Gyorgy",Front Pharmacol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7774279/,338
43877,557. Impact of Concomitant Hydroxychloroquine Use on Safety and Efficacy of Remdesivir in Moderate COVID-19 Patients,2020-12-31,,"Bonfante, Paola; Lanfranco, Luisa; Salvioli di Fossalunga, Alessandra; Ghignone, Stefano; Volpe, Veronica; Fiorilli, Valentina; Perotto, Silvia; Balestrini, Raffaella; Genre, Andrea",Front Plant Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7775380/,338
