,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
44,44,44,Sequence specific visual detection of LAMP reactions by addition of cationic polymers,11.96919,5.790839,2006-01-10,"BACKGROUND: Development of a practical gene point-of-care testing device (g-POCT device) requires innovative detection methods for demonstrating the results of the gene amplification reaction without the use of expensive equipment. We have studied a new method for the sequence-specific visual detection of minute amounts of nucleic acids using precipitation reaction by addition of cationic polymers to amplicons of Loop mediated isothermal Amplification (LAMP). RESULTS: Oligo DNA probes labeled with different fluorescent dyes were prepared for multiple nucleic acid templates, and the templates were amplified by the LAMP reactions under the existence of the probes. At completion of the LAMP reaction, an optimal amount of low molecular weight polyethylenimine (PEI) was added, resulting in the precipitation of the insoluble LAMP amplicon-PEI complex. The fluorescently labeled Oligo DNA probes hybridized to the LAMP product were incorporated into the precipitation, and the precipitate emitted fluorescence corresponding to the amplified nucleic acid templates. The color of emitted fluorescence can be detected easily by naked eye on a conventional UV illuminator. CONCLUSION: The presence or absence of minute amount of nucleic acid templates could be detected in a simple manner through visual assessment for the color of the LAMP amplicon-PEI complex precipitate. We conclude that this detection method may facilitate development of small and simple g-POCT device.","Mori, Yasuyoshi; Hirano, Tsuyoshi; Notomi, Tsugunori",BMC Biotechnol,35,1
73,73,73,MIMOX: a web tool for phage display based epitope mapping,12.061836,5.8987446,2006-10-12,"BACKGROUND: Phage display is widely used in basic research such as the exploration of protein-protein interaction sites and networks, and applied research such as the development of new drugs, vaccines, and diagnostics. It has also become a promising method for epitope mapping. Research on new algorithms that assist and automate phage display based epitope mapping has attracted many groups. Most of the existing tools have not been implemented as an online service until now however, making it less convenient for the community to access, utilize, and evaluate them. RESULTS: We present MIMOX, a free web tool that helps to map the native epitope of an antibody based on one or more user supplied mimotopes and the antigen structure. MIMOX was coded in Perl using modules from the Bioperl project. It has two sections. In the first section, MIMOX provides a simple interface for ClustalW to align a set of mimotopes. It also provides a simple statistical method to derive the consensus sequence and embeds JalView as a Java applet to view and manage the alignment. In the second section, MIMOX can map a single mimotope or a consensus sequence of a set of mimotopes, on to the corresponding antigen structure and search for all of the clusters of residues that could represent the native epitope. NACCESS is used to evaluate the surface accessibility of the candidate clusters; and Jmol is embedded to view them interactively in their 3D context. Initial case studies show that MIMOX can reproduce mappings from existing tools such as FINDMAP and 3DEX, as well as providing novel, rational results. CONCLUSION: A web-based tool called MIMOX has been developed for phage display based epitope mapping. As a publicly available online service in this area, it is convenient for the community to access, utilize, and evaluate, complementing other existing programs. MIMOX is freely available at .","Huang, Jian; Gutteridge, Alex; Honda, Wataru; Kanehisa, Minoru",BMC Bioinformatics,35,1
101,101,101,Screen for ISG15-crossreactive Deubiquitinases,11.849006,5.959397,2007-07-25,"BACKGROUND: The family of ubiquitin-like molecules (UbLs) comprises several members, each of which has sequence, structural, or functional similarity to ubiquitin. ISG15 is a homolog of ubiquitin in vertebrates and is strongly upregulated following induction by type I interferon. ISG15 can be covalently attached to proteins, analogous to ubiquitination and with actual support of ubiquitin conjugating factors. Specific proteases are able to reverse modification with ubiquitin or UbLs by hydrolyzing the covalent bond between their C-termini and substrate proteins. The tail regions of ubiquitin and ISG15 are identical and we therefore hypothesized that promiscuous deubiquitinating proteases (DUBs) might exist, capable of recognizing both ubiquitin and ISG15. RESULTS: We have cloned and expressed 22 human DUBs, representing the major clades of the USP protease family. Utilizing suicide inhibitors based on ubiquitin and ISG15, we have identified USP2, USP5 (IsoT1), USP13 (IsoT3), and USP14 as ISG15-reactive proteases, in addition to the bona fide ISG15-specific protease USP18 (UBP43). USP14 is a proteasome-associated DUB, and its ISG15 isopeptidase activity increases when complexed with the proteasome. CONCLUSIONS: By evolutionary standards, ISG15 is a newcomer among the UbLs and it apparently not only utilizes the conjugating but also the deconjugating machinery of its more established relative ubiquitin. Functional overlap between these two posttranslational modifiers might therefore be more extensive than previously appreciated and explain the rather innocuous phenotype of ISG15 null mice.","Catic, André; Fiebiger, Edda; Korbel, Gregory A.; Blom, Daniël; Galardy, Paul J.; Ploegh, Hidde L.",PLoS One,35,1
170,170,170,Investigating selection on viruses: a statistical alignment approach,11.735935,5.80181,2008-07-10,"BACKGROUND: Two problems complicate the study of selection in viral genomes: Firstly, the presence of genes in overlapping reading frames implies that selection in one reading frame can bias our estimates of neutral mutation rates in another reading frame. Secondly, the high mutation rates we are likely to encounter complicate the inference of a reliable alignment of genomes. To address these issues, we develop a model that explicitly models selection in overlapping reading frames. We then integrate this model into a statistical alignment framework, enabling us to estimate selection while explicitly dealing with the uncertainty of individual alignments. We show that in this way we obtain un-biased selection parameters for different genomic regions of interest, and can improve in accuracy compared to using a fixed alignment. RESULTS: We run a series of simulation studies to gauge how well we do in selection estimation, especially in comparison to the use of a fixed alignment. We show that the standard practice of using a ClustalW alignment can lead to considerable biases and that estimation accuracy increases substantially when explicitly integrating over the uncertainty in inferred alignments. We even manage to compete favourably for general evolutionary distances with an alignment produced by GenAl. We subsequently run our method on HIV2 and Hepatitis B sequences. CONCLUSION: We propose that marginalizing over all alignments, as opposed to using a fixed one, should be considered in any parametric inference from divergent sequence data for which the alignments are not known with certainty. Moreover, we discover in HIV2 that double coding regions appear to be under less stringent selection than single coding ones. Additionally, there appears to be evidence for differential selection, where one overlapping reading frame is under positive and the other under negative selection.","de Groot, Saskia; Mailund, Thomas; Lunter, Gerton; Hein, Jotun",BMC Bioinformatics,35,1
529,529,529,In Vitro Gene Delivery Mediated by Asialofetuin-Appended Cationic Liposomes Associated with γ-Cyclodextrin into Hepatocytes,11.7086315,6.124732,2010-12-09,"The purpose of this study is to evaluate in vitro gene delivery mediated by asialofetuin-appended cationic liposomes (AF-liposomes) associating cyclodextrins (CyD/AF-liposomes) as a hepatocyte-selective nonviral vector. Of various CyDs, AF-liposomes associated with plasmid DNA (pDNA) and γ-cyclodextrin (γ-CyD) (pDNA/γ-CyD/AF-liposomes) showed the highest gene transfer activity in HepG2 cells without any significant cytotoxicity. In addition, γ-CyD enhanced the encapsulation ratio of pDNA with AF-liposomes, and also increased gene transfer activity as the entrapment ratio of pDNA into AF-liposomes was increased. γ-CyD stabilized the liposomal membrane of AF-liposomes and inhibited the release of calcein from AF-liposomes. The stabilizing effect of γ-CyD may be, at least in part, involved in the enhancing gene transfer activity of pDNA/γ-CyD/AF-liposomes. Therefore, these results suggest the potential use of γ-CyD for an enhancer of transfection efficiency of AF-liposomes.","Motoyama, Keiichi; Nakashima, Yoshihiro; Aramaki, Yukihiko; Hirayama, Fumitoshi; Uekama, Kaneto; Arima, Hidetoshi",J Drug Deliv,35,1
607,607,607,Histological study of the biodynamics of iron oxide nanoparticles with different diameters,11.703525,6.067371,2011-08-02,"The biodynamics of ultrasmall and small superparamagnetic iron oxide (USPIO and SPIO, respectively) particles that were injected intraperitoneally into 36 C57BL/6 mice were investigated chronologically. Their distribution was studied histologically at six time points by measuring iron-positive areas (μm(2)) in organ sections stained with Prussian blue. The uptake of the differently sized particles was also compared by cultured murine macrophages (J774.1). Iron-positive areas in the liver were significantly larger in the mice injected with USPIO than those injected with SPIO at the first three time points (P < 0.05). The amount of USPIO in the lung parenchyma around the airway was larger than that of SPIO at four time points (P < 0.05); distribution to the lymph nodes was not significantly different. The amount of iron was significantly larger in SPIO- than USPIO-treated cultured cells (P < 0.05). In conclusion, it is suggested that intra peritoneally injected USPIO particles could be used more quickly than SPIO to make Kupffer images of the liver and that both agents could help get lymph node images of similar quality.","Tsuchiya, Keiko; Nitta, Norihisa; Sonoda, Akinaga; Nitta-Seko, Ayumi; Ohta, Shinichi; Otani, Hideji; Takahashi, Masashi; Murata, Kiyoshi; Murase, Katsutoshi; Nohara, Satoshi; Mukaisho, Kenichi",Int J Nanomedicine,35,1
758,758,758,The Dispanins: A Novel Gene Family of Ancient Origin That Contains 14 Human Members,11.806524,5.79956,2012-02-20,"The Interferon induced transmembrane proteins (IFITM) are a family of transmembrane proteins that is known to inhibit cell invasion of viruses such as HIV-1 and influenza. We show that the IFITM genes are a subfamily in a larger family of transmembrane (TM) proteins that we call Dispanins, which refers to a common 2TM structure. We mined the Dispanins in 36 eukaryotic species, covering all major eukaryotic groups, and investigated their evolutionary history using Bayesian and maximum likelihood approaches to infer a phylogenetic tree. We identified ten human genes that together with the known IFITM genes form the Dispanin family. We show that the Dispanins first emerged in eukaryotes in a common ancestor of choanoflagellates and metazoa, and that the family later expanded in vertebrates where it forms four subfamilies (A–D). Interestingly, we also find that the family is found in several different phyla of bacteria and propose that it was horizontally transferred to eukaryotes from bacteria in the common ancestor of choanoflagellates and metazoa. The bacterial and eukaryotic sequences have a considerably conserved protein structure. In conclusion, we introduce a novel family, the Dispanins, together with a nomenclature based on the evolutionary origin.","Sällman Almén, Markus; Bringeland, Nathalie; Fredriksson, Robert; Schiöth, Helgi B.",PLoS One,35,11
912,912,912,Proteomic Investigation of Falciparum and Vivax Malaria for Identification of Surrogate Protein Markers,11.832623,5.939072,2012-08-09,"This study was conducted to analyze alterations in the human serum proteome as a consequence of infection by malaria parasites Plasmodium falciparum and P. vivax to obtain mechanistic insights about disease pathogenesis, host immune response, and identification of potential protein markers. Serum samples from patients diagnosed with falciparum malaria (FM) (n = 20), vivax malaria (VM) (n = 17) and healthy controls (HC) (n = 20) were investigated using multiple proteomic techniques and results were validated by employing immunoassay-based approaches. Specificity of the identified malaria related serum markers was evaluated by means of analysis of leptospirosis as a febrile control (FC). Compared to HC, 30 and 31 differentially expressed and statistically significant (p<0.05) serum proteins were identified in FM and VM respectively, and almost half (46.2%) of these proteins were commonly modulated due to both of the plasmodial infections. 13 proteins were found to be differentially expressed in FM compared to VM. Functional pathway analysis involving the identified proteins revealed the modulation of different vital physiological pathways, including acute phase response signaling, chemokine and cytokine signaling, complement cascades and blood coagulation in malaria. A panel of identified proteins consists of six candidates; serum amyloid A, hemopexin, apolipoprotein E, haptoglobin, retinol-binding protein and apolipoprotein A-I was used to build statistical sample class prediction models. By employing PLS-DA and other classification methods the clinical phenotypic classes (FM, VM, FC and HC) were predicted with over 95% prediction accuracy. Individual performance of three classifier proteins; haptoglobin, apolipoprotein A-I and retinol-binding protein in diagnosis of malaria was analyzed using receiver operating characteristic (ROC) curves. The discrimination of FM, VM, FC and HC groups on the basis of differentially expressed serum proteins demonstrates the potential of this analytical approach for the detection of malaria as well as other human diseases.","Ray, Sandipan; Renu, Durairaj; Srivastava, Rajneesh; Gollapalli, Kishore; Taur, Santosh; Jhaveri, Tulip; Dhali, Snigdha; Chennareddy, Srinivasarao; Potla, Ankit; Dikshit, Jyoti Bajpai; Srikanth, Rapole; Gogtay, Nithya; Thatte, Urmila; Patankar, Swati; Srivastava, Sanjeeva",PLoS One,35,1
975,975,975,A Single Native Ganglioside GM(1)-Binding Site Is Sufficient for Cholera Toxin To Bind to Cells and Complete the Intoxication Pathway,11.630945,6.0445952,2012-10-30,"Cholera toxin (CT) from Vibrio cholerae is responsible for the majority of the symptoms of the diarrheal disease cholera. CT is a heterohexameric protein complex with a 240-residue A subunit and a pentameric B subunit of identical 103-residue B polypeptides. The A subunit is proteolytically cleaved within a disulfide-linked loop to generate the A1 and A2 fragments. The B subunit of wild-type (wt) CT binds 5 cell surface ganglioside GM(1) (GM(1)) molecules, and the toxin-GM(1) complex traffics from the plasma membrane (PM) retrograde through endosomes and the Golgi apparatus to the endoplasmic reticulum (ER). From the ER, the enzymatic A1 fragment retrotranslocates to the cytosol to cause disease. Clustering of GM(1) by multivalent toxin binding can structurally remodel cell membranes in ways that may assist toxin uptake and retrograde trafficking. We have recently found, however, that CT may traffic from the PM to the ER by exploiting an endogenous glycosphingolipid pathway (A. A. Wolf et al., Infect. Immun. 76:1476–1484, 2008, and D. J. F. Chinnapen et al., Dev. Cell 23:573–586, 2012), suggesting that multivalent binding to GM(1) is dispensable. Here we formally tested this idea by creating homogenous chimeric holotoxins with defined numbers of native GM(1) binding sites from zero (nonbinding) to five (wild type). We found that a single GM(1) binding site is sufficient for activity of the holotoxin. Therefore, remodeling of cell membranes by mechanisms that involve multivalent binding of toxin to GM(1) receptors is not essential for toxicity of CT.","Jobling, Michael G.; Yang, ZhiJie; Kam, Wendy R.; Lencer, Wayne I.; Holmes, Randall K.",mBio,35,1
1138,1138,1138,Identifying Early Inflammatory Changes in Monocyte-Derived Macrophages from a Population with IQ-Discrepant Episodic Memory,11.634906,5.7340417,2013-05-06,"BACKGROUND: Cells of the innate immune system including monocytes and macrophages are the first line of defence against infections and are critical regulators of the inflammatory response. These cells express toll-like receptors (TLRs), innate immune receptors which govern tailored inflammatory gene expression patterns. Monocytes, which produce pro-inflammatory mediators, are readily recruited to the central nervous system (CNS) in neurodegenerative diseases. METHODS: This study explored the expression of receptors (CD11b, TLR2 and TLR4) on circulating monocyte-derived macrophages (MDMs) and peripheral blood mononuclear cells (PBMCs) isolated from healthy elderly adults who we classified as either IQ memory-consistent (high-performing, HP) or IQ memory-discrepant (low-performing, LP). RESULTS: The expression of CD11b, TLR4 and TLR2 was increased in MDMs from the LP group when compared to HP cohort. MDMs from both groups responded robustly to treatment with the TLR4 activator, lipopolysaccharide (LPS), in terms of cytokine production. Significantly, MDMs from the LP group displayed hypersensitivity to LPS exposure. INTERPRETATION: Overall these findings define differential receptor expression and cytokine profiles that occur in MDMs derived from a cohort of IQ memory-discrepant individuals. These changes are indicative of inflammation and may be involved in the prodromal processes leading to the development of neurodegenerative disease.","Downer, Eric J.; Jones, Raasay S.; McDonald, Claire L.; Greco, Eleonora; Brennan, Sabina; Connor, Thomas J.; Robertson, Ian H.; Lynch, Marina A.",PLoS One,35,1
