,title_x,publish_time_x,abstract,authors,journal,url,category
17067,Discriminant Analysis of Anthropometric and Training Variables among Runners of Different Competitive Levels,2021-04-16,"In Fiji, low-lying coastal villages are beginning to retreat and relocate in response to coastal erosion, flooding and saltwater intrusion. Planned relocation is considered a last resort as a form of adaptation to the impacts of climatic and environmental change. The health impacts of planned relocation are poorly understood. This paper draws on data from multi-year research with residents of the iTaukei (Indigenous) Fijian village of Vunidogoloa. We used qualitative research methods to examine experiences of planned relocation, including residents’ accounts of their health and quality of life. In-depth interviews and group discussions were conducted with villagers living in a site of relocation, at four points in time (2015, 2016, 2019, and 2020). Twenty-seven people in Vunidogoloa, Fiji, participated in in-depth interviews, several on more than one occasion. Six group discussions with between eight to twelve participants were also conducted. Qualitative analytic software (NVivo) was used to analyse interview transcripts and identify themes. Villagers report both health benefits and challenges following planned relocation. Key facilitators for good health include movement away from some environmental risks to health, adequate drinking water and sanitation, food security including through farms and kitchen gardens, livelihood opportunities, improved access to schools and health services, and appropriate housing design. However, residents also refer to unanticipated risks to health including increased consumption of packaged goods and alcohol, disruptions to social structures and traditional values, and disrupted place attachment following movement away from a coastal site of belonging with consequences for mental wellbeing. Therefore, planned relocation has altered the social determinants of health in complex ways, bringing both health opportunities and risks. These results highlight the need for context-specific planning and adaptation programs that include meaningful involvement of community members in ongoing decision making, and call for an understanding of diverse social determinants of health that emerge and evolve in contexts of planned relocation.","McMichael, Celia; Powell, Teresia",Int J Environ Res Public Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8072796/,686
19837,Returning to Sport: Female Athletes Living with and beyond Cancer,2021-08-01,"Inhibition of ruminal microbial urease is of particular interest due to its crucial role in regulating urea-N utilization efficiency and nitrogen pollution in the livestock industry. Acetohydroxamic acid (AHA) is currently the only commercially available urease inhibitor, but it has adverse side effects. The urease accessory protein UreG, which facilitates the functional incorporation of the urease nickel metallocentre, has been proposed in developing urease inhibitor through disrupting urease maturation. The objective of this study was to screen natural compounds as potential urease inhibitors by targeting UreG in a predominant ruminal microbial urease. In silico screening and in vitro tests for potential inhibitors were performed using molecular docking and an assay for the GTPase activity of UreG. Chelerythrine chloride was selected as a potential urease inhibitor of UreG with an inhibition concentration IC(50) value of 18.13 μM. It exhibited mixed inhibition, with the K(i) value being 26.28 μM. We further explored its inhibition mechanism using isothermal titration calorimetry (ITC) and circular dichroism (CD) spectroscopy, and we found that chelerythrine chloride inhibited the binding of nickel to UreG and induced changes in the secondary structure, especially the α-helix and β-sheet of UreG. Chelerythrine chloride formed a pi-anion interaction with the Asp41 residue of UreG, which is an important residue in initiating the conformational changes of UreG. In conclusion, chelerythrine chloride exhibited a potential inhibitory effect on urease, which provided new evidence for strategies to develop novel urease inhibitors targeting UreG to reduce nitrogen excretion from ruminants.","Zhang, Xiaoyin; He, Yue; Xiong, Zhanbo; Li, Min; Li, Ming; Zheng, Nan; Zhao, Shengguo; Wang, Jiaqi",Int J Mol Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8347364/,686
253388,No Evidence of SARS-CoV-2 Circulation in Rome (Italy) during the Pre-Pandemic Period: Results of a Retrospective Surveillance,2020,"COVID-19 stands for Corona (CO), Virus (VI), Disease (D) and year 2019 (19), which is COVID-19 first appeared in 2019 Mathematical model of COVID-19 deployment in Indonesia under and without lockdown case uses the SIRV model, such as Susceptible, Infected, Recovery, and Virus The results of this model state that under lockdown the spread of COVID-19 could be stopped If it were not under lockdown it can multiply 1,276 times higher over two months","Sugiyanto, Sugiyanto; Abrori, Muchammad","Biology, Medicine, &amp; Natural Product Chemistry",,686
276417,SARS-CoV-2 Infection in Children in Southern Italy: A Descriptive Case Series,2020,"BACKGROUND: In Sweden, home care services is a major external contact for older persons. METHODS: Five home care service companies in Stockholm, Sweden, enrolled 405 employees to a study including serum IgG to SARS-CoV-2 and SARS-CoV-2 virus in throat swabs. RESULTS: 20.1% (81/403) of employees were seropositive, about twice as many as in a simultaneously enrolled reference population (healthcare workers entirely without patient contact, n = 3671; 9.7% seropositivity). 13/379 employees (3.4%) had a current infection (PCR positivity). Amongst these, 5 were also seropositive and 3 were positive with low amounts of virus. High amounts of virus and no antibodies (a characteristic for presymptomatic COVID-19) were present in 5 employees (1.3%). CONCLUSIONS: Personnel providing home services for older persons appear to be a risk group for SARS-CoV-2. Likely presymptomatic employees can be readily identified by screening. Increased protection of employees and of the older persons they serve is warranted.","Hassan, S S; Seigerud, Å; Abdirahman, R; Arroyo Mühr, L S; Nordqvist Kleppe, S; Pin, E; Månberg, A; Hober, S; Nilsson, P; Engstrand, L; Miriam Elfström, K; Blomqvist, J; Conneryd Lundgren, K; Dillner, J",J. intern. med,,686
332148,SARS-COV-2 Serological Profile in Healthcare Professionals of a Southern Italy Hospital,2020,"COVID-19 has led to long overdue visibility of the gendered determinants and impacts of health emergencies and global health security. This article explores why gender was neglected in previous health emergencies, what led to change in visibility of gender issues during the first six months of the COVID-19 pandemic, and the implications of such change for understanding the relationship between gender and global health security. The article explores the question of neglect by drawing on original research into the 2014–16 Ebola outbreak in Sierra Leone, its aftermath and implications for future pandemic preparedness. The article then looks in detail at the research efforts, funding, epistemic community activism and impact of COVID-19 to explain why gender received high profile political attention and acknowledgment. The article argues that the change in visibility, research and advocacy around gender equality during the COVID-19 outbreak does not demonstrate an advancement in gender equality in global health. To the contrary, such visibility reinforces the inherent problems of global health security evident in the 2014–16 Ebola outbreak that create and reproduce binaries of neglect and visibility, and hierarchies of the global health issues that matter, the people that matter and the women that matter. What unites neglect and visibility of gender in global health security is that gender is understood as solution rather than threat. Combined these factors make gender equality incompatible with global health security. [ABSTRACT FROM AUTHOR] Copyright of International Affairs is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","Harman, Sophie",International Affairs,,686
353941,Altitude and SARS-CoV-2 Infection in the First Pandemic Wave in Spain,2021,"BACKGROUND AND OBJECTIVE: Epidemiological data obtained during the ongoing SARS-CoV-2 pandemic suggests that COVID-19 mortality has specific age and gender associations. However, limited epidemiological studies explored specific populational risk factors, including comorbidities, and patient clinical characteristics. The main aim of our retrospective cohort study was to analyze associations between age, gender, and comorbidities in deceased COVID-19 patients. MATERIALS AND METHODS: A retrospective cohort analysis was performed to assess significant risk factors in adult patients deceased from COVID-19 infection by evaluating Electronic Medical Records and post-mortem analysis in COVID-19 patients deceased between April 2020 to October 2020. All patients underwent post-mortem evaluation along with medical history analysis, including data on disease duration, hospitalization, and clinical peculiarities. RESULTS: Medical records of 1487 COVID-19 patients revealed that the prevalence of males was higher (by 23%) than females; the median age for males was 71 years of age whereas for females it was 78. The most prevalent comorbid pathologies were: hypertension, obesity, diabetes, and cancer. Males are at significantly increased risk of lethal outcome, even in younger age groups, with comorbid conditions. CONCLUSION: The study concluded that comorbidities, such as hypertension, obesity, diabetes, cancer are the most important risk factors for comorbid mortality in COVID-19 patients. In addition to lung damage, multiple organ dysfunctions may be a crucial reason for COVID-19 induced death. Special precautions, such as early hospitalization, increased monitoring, and preventative tactics should be taken for at-risk patients.","Kirillov, Youri; Timofeev, Sergei; Avdalyan, Ashot; Nikolenko, Vladimir N; Gridin, Leonid; Sinelnikov, Mikhail Y",J Prim Care Community Health,,686
353942,Altitude and SARS-CoV-2 Infection in the First Pandemic Wave in Spain,2021,"BACKGROUND AND OBJECTIVE: Epidemiological data obtained during the ongoing SARS-CoV-2 pandemic suggests that COVID-19 mortality has specific age and gender associations. However, limited epidemiological studies explored specific populational risk factors, including comorbidities, and patient clinical characteristics. The main aim of our retrospective cohort study was to analyze associations between age, gender, and comorbidities in deceased COVID-19 patients. MATERIALS AND METHODS: A retrospective cohort analysis was performed to assess significant risk factors in adult patients deceased from COVID-19 infection by evaluating Electronic Medical Records and post-mortem analysis in COVID-19 patients deceased between April 2020 to October 2020. All patients underwent post-mortem evaluation along with medical history analysis, including data on disease duration, hospitalization, and clinical peculiarities. RESULTS: Medical records of 1487 COVID-19 patients revealed that the prevalence of males was higher (by 23%) than females; the median age for males was 71 years of age whereas for females it was 78. The most prevalent comorbid pathologies were: hypertension, obesity, diabetes, and cancer. Males are at significantly increased risk of lethal outcome, even in younger age groups, with comorbid conditions. CONCLUSION: The study concluded that comorbidities, such as hypertension, obesity, diabetes, cancer are the most important risk factors for comorbid mortality in COVID-19 patients. In addition to lung damage, multiple organ dysfunctions may be a crucial reason for COVID-19 induced death. Special precautions, such as early hospitalization, increased monitoring, and preventative tactics should be taken for at-risk patients.","Kirillov, Youri; Timofeev, Sergei; Avdalyan, Ashot; Nikolenko, Vladimir N; Gridin, Leonid; Sinelnikov, Mikhail Y",J Prim Care Community Health,,686
464469,"Seroprevalence of Anti-SARS-CoV-2 Antibodies in a Random Sample of Inhabitants of the Katowice Region, Poland",2021,"The coronavirus disease 2019 (COVID-19) pandemic has brought challenges to delivery of care for older adults on inpatient psychiatry. We describe two cases: patient A, a 62-year-old woman who initially refused screening for potential COVID-19, bringing up questions about threshold for capacity when public health is at risk and questions about whether screening for infection should be different in older adults. The other case, patient B, is that of an 83-year-old man who was on the unit when patient A tested positive, and brought up concerns for risk of dissemination in the context of wandering, spitting behaviors, and inability to adhere to room isolation or masking measures. We review measures taken to decrease risk of transmission and improve screening for infection in older adults.","Fahed, Mario; Barron, Gregory C; Steffens, David C",Am J Geriatr Psychiatry,,686
467788,Activities and Perceived Risk of Transmission and Spread of SARS-CoV-2 among Specialists and Residents in a Third Level University Hospital in Spain,2021,,,JAMA Otolaryngol Head Neck Surg,,686
488609,A Clustering Approach to Classify Italian Regions and Provinces Based on Prevalence and Trend of SARS-CoV-2 Cases,2020,"Background: The Coronavirus disease 2019 (COVID-19) outbreak quickly has spread and became a pandemic However, no approved therapeutics or effective treatment is available for the treatment of these patients The present study was done to retrospectively assess the treatment strategies (e g , pharmaceutical care services) for COVID-19 patients in selected hospitals and highlight the importance of such services in the management of a pandemic Materials and Methods: Data from a series of COVID-19 patients (978 patients;658 males [66 9%] and 324 females [33 1%]) admitted to the selected hospitals in Tehran from 20 February to 19 March 2020 were retrieved retrospectively from the Health Information System (HIS) of the hospitals The statistical tests were used for analyzing the effect and correlation of the variables (drugs) with the average length of stay (ALOS) in the hospital","Najafi, A.; Ghanei, M.; Janbabaei, G.; Velayati, A. A.; Saadat, S. H.; Jamaati, H.; Tabarsi, P.; Dastan, F.; Ram, M.; Darabi, E.; Fathi, S.; Fesharaki, M. G.; Ghazale, A. H.; Saloo, S.","TANAFFOS Journal of Respiratory Disease, Thoracic Surgery, Intensive Care and Tuberculosis",,686
