,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
151,151,151,Preliminary Findings of a Randomized Trial of Non-Pharmaceutical Interventions to Prevent Influenza Transmission in Households,14.881084,4.109846,2008-05-07,"BACKGROUND: There are sparse data on whether non-pharmaceutical interventions can reduce the spread of influenza. We implemented a study of the feasibility and efficacy of face masks and hand hygiene to reduce influenza transmission among Hong Kong household members. METHODOLOGY/PRINCIPAL FINDINGS: We conducted a cluster randomized controlled trial of households (composed of at least 3 members) where an index subject presented with influenza-like-illness of <48 hours duration. After influenza was confirmed in an index case by the QuickVue Influenza A+B rapid test, the household of the index subject was randomized to 1) control or 2) surgical face masks or 3) hand hygiene. Households were visited within 36 hours, and 3, 6 and 9 days later. Nose and throat swabs were collected from index subjects and all household contacts at each home visit and tested by viral culture. The primary outcome measure was laboratory culture confirmed influenza in a household contact; the secondary outcome was clinically diagnosed influenza (by self-reported symptoms). We randomized 198 households and completed follow up home visits in 128; the index cases in 122 of those households had laboratory-confirmed influenza. There were 21 household contacts with laboratory confirmed influenza corresponding to a secondary attack ratio of 6%. Clinical secondary attack ratios varied from 5% to 18% depending on case definitions. The laboratory-based or clinical secondary attack ratios did not significantly differ across the intervention arms. Adherence to interventions was variable. CONCLUSIONS/SIGNIFICANCE: The secondary attack ratios were lower than anticipated, and lower than reported in other countries, perhaps due to differing patterns of susceptibility, lack of significant antigenic drift in circulating influenza virus strains recently, and/or issues related to the symptomatic recruitment design. Lessons learnt from this pilot have informed changes for the main study in 2008. TRIAL REGISTRATION: ClinicalTrials.gov NCT00425893 HKClinicalTrials.com HKCTR-365","Cowling, Benjamin J.; Fung, Rita O. P.; Cheng, Calvin K. Y.; Fang, Vicky J.; Chan, Kwok Hung; Seto, Wing Hong; Yung, Raymond; Chiu, Billy; Lee, Paco; Uyeki, Timothy M.; Houck, Peter M.; Peiris, J. S. Malik; Leung, Gabriel M.",PLoS One,418,1
3566,3566,3566,"Rapid emergence of cryptococcal fungemia, Mycobacterium chelonae vertebral osteomyelitis and gastro intestinal stromal tumor in a young HIV late presenter: a case report",14.603732,11.4888,2018-12-27,"BACKGROUND: Highly active antiretroviral therapy has significantly changed the natural history of HIV infection, leading to a dramatic reduction of HIV-related morbidity and mortality. Late Presenters, Very Late Presenters and AIDS presenters still represent, also in Europe, including Italy, a huge challenge in terms of diagnostic and therapeutic management. CASE PRESENTATION: A 35-year-old male with a history of fever and back pain. HIV test resulted positive with a high HIV Viral Load and a very low T-CD4 number of cells (5 cells/mm(3)). Imaging investigations revealed multiple vertebral and pulmonary lesions together with abdominal and thoracic lymphadenopathy. Blood cultures were positive for Cryptococcus neoformans and for Staphylococcus haemolyticus. Lymphnode biopsy resulted positive in PCR for Non-Tuberculosis Mycobacteria (Mycobacterium chelonae). A gastric biopsy also revealed a GIST. The patient also had CMV DNA positive. Although we performed antiretroviral therapy and specific-therapies for each disease, he was transferred to intensive care unit where he died due to an Acute Respiratory Distress Syndrome. CONCLUSION: The reported case is unusual due to the relevant number of opportunistic diseases (both infectious and tumoral) emerging not long after the HIV infection had been diagnosed. Late presenters HIV patients and AIDS presenters still represent a challenge, which is often too complex for clinicians to deal with. In spite of proper management, the risk of suboptimal results cannot be excluded. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1186/s12879-018-3573-z) contains supplementary material, which is available to authorized users.","Marino, Andrea; Caltabiano, Eleonora; Zagami, Aldo; Onorante, Anna; Zappalà, Carmela; Locatelli, Maria Elena; Pampaloni, Alessio; Scuderi, Daniele; Bruno, Roberto; Cacopardo, Bruno",BMC Infect Dis,418,3
3924,3924,3924,Establishment and development of national community-based collaborative innovation demonstration areas to achieve the control target of hepatitis B in China,14.534809,11.48422,2019-07-12,"BACKGROUND: The major infectious diseases of hepatitis B has constituted an acute public health challenge in China. An effective and affordable HBV control model is urgently needed. A national project of Community-based Collaborative Innovation HBV (CCI-HBV) demonstration areas has optimized the existing community healthcare resources and obtained initial results in HBV control. METHODS: Based on the existing community healthcare network, CCI-HBV project combined the community health management and health contract signing service for long-staying residents in hepatitis B screening. Moreover, HBV field research strategy was popularized in CCI-HBV areas. After screening, patients with seropositive results were enrolled in corresponding cohorts and received treatment at an early stage. And the uninfected people received medical supports including health education through new media, behavior intervention and HBV vaccinations. In this process, a cloud-based National Information Platform (NIP) was established to collect and store residents’ epidemiological data. In addition, a special quality control team was set up for CCI project. RESULTS: After two rounds of screening, HBsAg positive rate dropped from 5.05% (with 5,173,003 people screened) to 4.57% (with 3,819,675 people screened), while the rate of new HBV infections was 0.28 per 100 person-years in the fixed cohorts of 2,584,322 people. The quality control team completed PPS sampling simultaneously and established the serum sample database with 2,800,000 serum samples for unified testing. CONCLUSIONS: CCI-HBV project has established a large-scale field research to conduct whole-population screening and intervention. We analyzed the HBsAg prevalence and new infection rate of HBV in the fixed population for the epidemic trend and intervention effect. The purpose of CCI-HBV project is to establish and evaluate a practical model of grid management and field strategy, to realize the new goal to control hepatitis B in China. To provide policymakers with a feasible model, our results are directly applicable. TRIAL REGISTRATION: The project was funded by the Major Projects of Science Research for the 11th and 12th five-year plans of China, entitled “The prevention and control of AIDS, viral hepatitis and other major infectious diseases”, Grant Nos. 2009ZX10004901, 2011ZX10004901, 2013ZX10004904, 2014ZX10004007 and 2014ZX10004008.","Ruan, Bing; Yu, Zhixin; Yang, Shigui; Xu, Kaijin; Ren, Jingjing; Yao, Jun; Wu, Nanping; Yu, Chengbo; Deng, Min; Xie, Tiansheng; Chen, Ping; Wang, Chencheng; Li, Yiping; Zhao, Yanhong; Sheng, Jifang; Hou, Yunde; Wu, Zunyou; Jin, Shuigao; Chen, Yude; Li, Mengfeng; Zhu, Fengcai; Tang, Hong; Hao, Yuantao; Pang, Xinghuo; Lu, Lin; Yang, Wen; Yuan, Zhengan; Xu, Aiqiang; Li, Zizhao; Ni, Mingjian; Yan, Yongping; Zhong, Qiu; Zhou, Lin; Li, Guojian; Meng, Qun; Hu, Jianping; Zhou, Hong; Zhang, Guangyu; Li, Dexin; Jiang, Wei; Li, Qing; Wu, Peixin; Xing, Ruoqi; Gu, Jinhui; Gao, Di; Li, Lanjuan",BMC Infect Dis,418,3
4417,4417,4417,"Outbreak of acute undifferentiated febrile illness in Kathmandu, Nepal: clinical and epidemiological investigation",14.965837,11.458704,2020-01-30,"BACKGROUND: Outbreaks of acute undifferentiated febrile illness (AUFI) are common in Nepal, but the exact etiology or risk factors for them often go unrecognized. Diseases like influenza, enteric fever and rickettsial fevers account for majority of such outbreaks. Optimal diagnostic tests to inform treatment decisions are not available at the point-of-care. A proper epidemiological and clinical characterization of such outbreaks is important for appropriate treatment and control efforts. METHODS: An investigation was initiated as a response to increased presentation of patients at Patan Hospital from Chalnakhel locality in Dakchinkali municipality, Kathmandu with AUFI from June 10 to July 1, 2016. Focused group discussion with local inhabitants and the epidemiological curve of febrile patients at local primary health care centre confirmed the outbreak. The household-survey was conducted in the area with questionnaire administered on patients to characterize their illnesses and their medical records were reviewed. A different set of questionnaire was administered on the patients and controls to investigate the association with common risk factors. Water samples were collected and analyzed microbiologically. RESULTS: Eighty one patients from 137 households suffered from febrile illness within 6 weeks window before the investigation. All the 67 sampled patients with acute fever had a generalized illness without a discernible focus of infection. Only 38% of the patients had received a clinical diagnosis while the rest were treated empirically without a diagnosis. Three patients had blood culture confirmed enteric fever. Forty-two (63%) patients had been administered antibiotics, most commonly, ofloxacin, cefixime or azithromycin with a mean fever clearance time of 4 days. There was no definite association between several risk factors and fever. Fecal contamination was noted in tap water samples. CONCLUSION: Based on the pattern of illness, this outbreak was most likely a mixture of self-limiting viral infections and enteric fever. This study shows that even in the absence of a confirmed diagnosis, a detailed characterization of the illness at presentation and the recovery course can suggest the diagnosis and help in formulating appropriate recommendation for treatment and control.","Pokharel, Sunil; Karki, Manan; Acharya, Bhim; Marasini, Baburam; Arjyal, Amit",BMC Infect Dis,418,3
7268,7268,7268,Whooping Cough and Parkinson's Disease,14.901526,7.3469806,1996-12-11,"The influence of 9-O-acetylation of G(D1a), yielding G(D1a) ((e)Neu5,9Ac(2) with a 9-O-acetylated sialic acid moiety linked to the outer galactose residue, on the spatial extension and mobility of the carbohydrate chain and on recognition by a natural human antibody is analysed. To study a potential impact of the O-acetyl group on the overall conformation of the carbohydrate chain, molecular dynamics (MD) simulations of oligosaccharide chain fragments of increasing length starting from the non-reducing end have been carried out for the first time in this study. They revealed a considerable loss in chain flexibility after addition of the internal N-acetylneuraminic acid onto the chain. Besides MD calculations with different dielectric constants, the conformational behaviour of the complete oligosaccharide chain of the 9-O-acetylated G(D1a) ganglioside was simulated in the solvents water and dimethyl sulfoxide. These solvents were also used in NMR measurements. The results of this study indicate that 9-O-acetylation at the terminal sialic acid does not influence the overall conformation of the ganglioside. An extended interaction analysis of energetically minimized conformations of G(D1a) ((e)Neu5,9Ac(2)) and G(D1a), obtained during molecular dynamics simulations, allowed assessment of the influence of the different parts of the saccharide chains on spatial flexibility. Noteworthy energetic interactions, most interestingly between the 9-O-acetyl group and the pyranose ring of N-acetylgalactosamine, were ascertained by the calculations. However, the strength of this interaction does not force the ganglioside into a conformation, where the 9-O-acetyl group is no longer accessible. Binding of G(D1a) ((e)Neu5,9Ac(2)) to proteins, which are specific for 9-O-acetylated sialic acids, should thus at least partially be mediated by the presence of this group. To experimentally prove this assumption, a NMR study of 9-O-acetylated G(D1a) in the presence of an affinitypurified polyclonal IgG fraction from human serum with preferential binding to 9-O-acetylated sialic acid was performed. The almost complete disappearance of the intensity of the 9-O-acetyl methyl signal of the G(D1a) (clearly indicates that the assumed interaction of the 9-O-acetyl group with the human protein takes place.","Siebert, Hans-Christian; von der Lieth, Claus-Wilhelm; Dong, Xin; Reuter, Gerd; Schauer, Roland; Gabius, Hans-Joachim; Vliegenthart, Johannes F.G.",Glycobiology,418,17
7385,7385,7385,Some Characteristics of Hemagglutination of Certain Strains of “IBV-like” Virus,14.891981,11.550425,1969-11-11,"Enteric pathogens associated with diarrhea were studied for two years at a diarrhea treatment center in rural Bangladesh. Enterotoxigenic Escherichia coli (ETEC) was the most frequently identified pathogen for patients of all ages. Rotavirus and ETEC were isolated from ∼50% and ∼25%, respectively, of patients less than two years of age. A bacterial or viral pathogen was identified for 70% of these young children and for 56% of all patients with diarrhea. Most ETEC isolates were obtained in the hot dry months of March and April and the hot wet months of August and September. Rotavirus identification peaked in the cool dry months of December and January, but infected patients were found year-round. The low case-fatality rates for patients with watery diarrhea and substantial dehydration further document the usefulness of treating patients with diarrhea with either a glucose- or sucrose-base electrolyte solution such as those used in this treatment center.","Black, R. E.; Merson, M. H.; Rahman, A. S. M. M.; Yunus, M.; Alim, A. R. M. A.; Huq, I.; Yolken, R. H.; Curlin, G. T.",J Infect Dis,418,28
8313,8313,8313,Transmission risk and predictability of invasive meningococcal disease,14.648113,11.804724,2010-03-05,,"Zhang, Chao; Shi, Lei; Wang, Fu-Sheng",Lancet Gastroenterol Hepatol,418,3
10487,10487,10487,"Severity and outcomes of influenza-related pneumonia in type A and B strains in China, 2013–2019",14.734614,11.616704,2020-04-22,"On 20 November 2019, Lassa fever was diagnosed in a physician repatriated from Sierra Leone to the Netherlands. A second physician with suspected Lassa fever, repatriated a few days later from the same healthcare facility, was confirmed infected with Lassa virus on 21 November. Comprehensive contact monitoring involving high- and low-risk contacts proved to be feasible and follow-up of the contacts did not reveal any case of secondary transmission in the Netherlands.","Overbosch, Femke; de Boer, Mark; Veldkamp, Karin Ellen; Ellerbroek, Pauline; Bleeker-Rovers, Chantal P; Goorhuis, Bram; van Vugt, Michele; van der Eijk, Annemiek; Leenstra, Tjalling; Khargi, Martin; Ros, Jeanette; Brandwagt, Diederik; Haverkate, Manon; Swaan, Corien; Reusken, Chantal; Timen, Aura; Koopmans, Marion; van Dissel, Jaap",Euro Surveill,418,3
11002,11002,11002,Current understanding of the therapeutic benefits of mesenchymal stem cells in acute respiratory distress syndrome,15.037956,11.746191,2019-09-04,"PURPOSE: In ICU patients with carriage of extended spectrum beta-lactamase producing Enterobacterales (ESBL-E) and suspected Gram-negative bacilli ventilator-associated pneumonia (GNB-VAP), the quantification of the rectal and throat ESBL-E carriage might predict the ESBL-E involvement in GNB-VAP. Our aim was to evaluate whether a semi-quantitative assessment of rectal/throat ESBL-E carriage can predict ESBL-E-associated VAP in medical ICU patients. METHODS: From May 2014 to May 2017, all ESBL-E carriers had a semi-quantitative assessment of ESBL-E density in swabs cultures. For those who developed GNB-VAP (diagnosed using bronchoalveolar lavage or plugged telescopic catheter with significant quantitative culture), the last positive swab collected at least 48 h before GNB-VAP onset was selected. Clinical data were extracted from a prospectively collected database. RESULTS: Among 365 ESBL-E carriers, 82 developed 107 episodes of GNB-VAP (ESBL-E VAP, n = 50; and non-ESBL-E GNB-VAP, n = 57) after 13 days of mechanical ventilation in median. Antimicrobials use before VAP onset was similar between groups. The last swabs were collected 5 days in median before VAP onset. ESBL-E. coli carriers developed ESBL-E VAP less frequently (n = 13, 34%) than others (n = 32, 67.3%, p < .01). Throat swab positivity (39 (78%) vs. 12 (23%), p < .01) was more frequent for ESBL-E VAP. ESBL-E VAP was associated with significantly higher ESBL-E density in rectal swabs. In multivariate models, non-E. coli ESBL-E carriage and rectal ESBL-E carriage density, or throat carriage, remained associated with ESBL-E VAP. CONCLUSION: In carriers of ESBL-E other than E. coli, ESBL-E throat carriage or a high-density ESBL-E rectal carriage are risk factors of ESBL-E VAP in case of GNB-VAP. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1007/s00134-020-06029-y) contains supplementary material, which is available to authorized users.","Andremont, Olivier; Armand-Lefevre, Laurence; Dupuis, Claire; de Montmollin, Etienne; Ruckly, Stéphane; Lucet, Jean-Christophe; Smonig, Roland; Magalhaes, Eric; Ruppé, Etienne; Mourvillier, Bruno; Lebut, Jordane; Lermuzeaux, Mathilde; Sonneville, Romain; Bouadma, Lila; Timsit, Jean-François",Intensive Care Med,418,8
11765,11765,11765,"Measles outbreak amplified in a pediatric ward: Lyantonde District, Uganda, August 2017",14.596313,11.540794,2020-06-05,"SIMPLE SUMMARY: Commercial in vitro embryo production in horses by ICSI (intracytoplasmic sperm injection) is currently used to produce embryos clinically. However, the successful pregnancy and foaling rates obtained after ICSI are only 10% of the oocytes matured in vitro. Conditions used for oocyte in vitro maturation are not optimized for equine oocytes. Hence, in the present work, we aimed to elucidate the major metabolites present in equine preovulatory follicular fluid obtained from postmortem mares using proton nuclear magnetic resonance spectroscopy ((1)H-NMR). Twenty-two metabolites were identified; among these, nine of them are not included in the composition of in vitro maturation media. Hence, our data suggest that the currently used media for equine oocyte maturation can be further improved. ABSTRACT: Production of equine embryos in vitro is currently a commercial technique and a reliable way of obtaining offspring. In order to produce those embryos, immature oocytes are retrieved from postmortem ovaries or live mares by ovum pick-up (OPU), matured in vitro (IVM), fertilized by intracytoplasmic sperm injection (ICSI), and cultured until day 8–10 of development. However, at best, roughly 10% of the oocytes matured in vitro and followed by ICSI end up in successful pregnancy and foaling, and this could be due to suboptimal IVM conditions. Hence, in the present work, we aimed to elucidate the major metabolites present in equine preovulatory follicular fluid (FF) obtained from postmortem mares using proton nuclear magnetic resonance spectroscopy ((1)H-NMR). The results were contrasted against the composition of the most commonly used media for equine oocyte IVM: tissue culture medium 199 (TCM-199) and Dulbecco’s modified eagle medium/nutrient mixture F-12 Ham (DMEM/F-12). Twenty-two metabolites were identified in equine FF; among these, nine of them are not included in the composition of DMEM/F-12 or TCM-199 media, including (mean ± SEM): acetylcarnitine (0.37 ± 0.2 mM), carnitine (0.09 ± 0.01 mM), citrate (0.4 ± 0.04 mM), creatine (0.36 ± 0.14 mM), creatine phosphate (0.36 ± 0.05 mM), fumarate (0.05 ± 0.007 mM), glucose-1-phosphate (6.9 ± 0.4 mM), histamine (0.25 ± 0.01 mM), or lactate (27.3 ± 2.2 mM). Besides, the mean concentration of core metabolites such as glucose varied (4.3 mM in FF vs. 5.55 mM in TCM-199 vs. 17.5 mM in DMEM/F-12). Hence, our data suggest that the currently used media for equine oocyte IVM can be further improved.","Fernández-Hernández, Pablo; Sánchez-Calabuig, María Jesús; García-Marín, Luis Jesús; Bragado, María J.; Gutiérrez-Adán, Alfonso; Millet, Óscar; Bruzzone, Chiara; González-Fernández, Lauro; Macías-García, Beatriz",Animals (Basel),418,3
