,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
40818,40818,40818,Erratum regarding missing Declaration of Competing Interest statements in previously published articles.,21.684553,9.902232,2020-10-15,"Are crises an opportunity to push for fundamental changes? Can the COVID-19 crisis help to promote an ideological shift towards a different type of capitalism? By conducting a quantitative content analysis of the international press on the COVID-19 bailout conditionality debate, this article documents the existence of three dominant narratives: the distributive justice, environmental justice, and Marxist-type anti-capitalistic narratives. Yet, only the distributive justice assumed greater prominence during the period of observation, signaling a small step towards an ideological shift in which the general public may become more open to scrutiny of companies’ dividend and bonus policies and more averse to acceptance of tax avoidance and the accumulation of excessive wealth by members of the corporate elite. The article concludes by recommending MNEs and their CEOs to be prepared for more distributive justice challenges in the future.","Giuliani, Elisa",J Int Bus Policy,805,22
60027,60027,60027,Performance of a deep neural network in teledermatology: a single-center prospective diagnostic study.,21.605885,10.128529,2020-10-10,"Low fresh gas flows (FGFs) decrease the use of anesthetic gases, but increase CO2 absorbent usage. CO2 absorbent usage remains poorly quantified. The goal of this study is to determine canister life of 8 commercially available CO2 absorbent prepacks with the Zeus®. Pre-packed CO2 canisters of 8 different brands were tested in vitro: Amsorb Plus, Spherasorb, LoFloSorb, LithoLyme, SpiraLith, SpheraSorb, Drägersorb 800+, Drägersorb Free, and CO2ntrol. CO2 (160 mL min- 1) flowed into the tip of a 2 L breathing bag that was ventilated with a tidal volume of 500 mL, a respiratory rate of 10/min, and an I:E ratio of 1:1 using the controlled mechanical ventilation mode of the Zeus® (Dräger, Lubeck, Germany). In part I, canister life of 5 canisters each of 2 different lots of each brand was determined with a 350 mL min- 1 FGF. Canister life is the time it takes for the inspired CO2 concentration (FICO2) to rise to 0.5%. In part II, canister life was measured accross a FGF range of 0.25 to 4 L min- 1 for Drägersorb 800+ (2 lots) and SpiraLith (1 lot). In part III, the calculated canister life per 100 g fresh granule content of the different brands was compared between the Zeus and (previously published data for) the Aisys. In vitro canister life of prefilled CO2 absorber canisters differed between brands, and depended on the amount of CO2 absorbent and chemical composition. Canister life expressed as FCU0.5 (the fraction of the canister used per hour) was proportional to FGF over 0.2-2 L min-1 range only, but was non-linear with higher FGF: FCU0.5 was larger than expected with FGF > 2 L min-1, and even with FGF > minute ventilation FCU0.5 did not become zero, indicating some CO2 was being absorbed. Canister life on a per weight basis of the same brand is higher with the Zeus than the Aisys. Canister life of prefilled CO2 absorber canisters differs between brands. The FCU0.5-FGF relationship is not linear across the entire FGF range. Canister life of prepacks of the same brand for the Zeus and Aisys differs, the exact etiology of which is probably multifactorial, and may include differences in the absolute amount of absorbent and different rebreathing characteristics of the machines.","Omer, Mohab; Hendrickx, Jan F A; De Ridder, Simon; De Houwer, Alexander; Carette, Rik; De Cooman, Sofie; De Wolf, Andre M",Journal of clinical monitoring and computing,805,20
63401,63401,63401,Successful treatment of recalcitrant genital lichen planus with secukinumab.,21.641298,9.904282,2020-12-07,"The discovery of HpFabZ inhibitors is now of special interest in the treatment of various gastric diseases. In this work, three series of derivatives (compounds 3, 4, and 5) were designed, synthesized, and their biological activities were investigated as potential HpFabZ inhibitors in a two phased manner. First, we designed and synthesized two series of derivatives (3a-r and 4a-u) and evaluated the enzyme-based assay against HpFabZ. Five compounds (3i-k, 3m, and 3q) showed potential inhibitory activity, with IC(50) values less than 2 muM. Second, a focused combinatorial library containing 280 molecules was designed employing the LD1.0 program. Twelve compounds (5a-l) were selected and synthesized. The activity of the most potent compound 5h (IC(50) = 0.86 muM) was 46 times higher than that of the hit 1. The high hit rate and the potency of the new HpFabZ inhibitors demonstrated the efficiency of the strategy for the focused library design and virtual screening.","He, Lingyan; Zhang, Liang; Liu, Xiaofeng; Li, Xianghua; Zheng, Mingyue; Li, Honglin; Yu, Kunqian; Chen, Kaixian; Shen, Xu; Jiang, Hualiang; Liu, Hong",Journal of medicinal chemistry,805,29
65143,65143,65143,Erratum regarding missing declaration of competing interest statements in previously published articles.,21.702147,10.163085,2020,"PURPOSE OF REVIEW Despite increased clinician awareness, nonadherence to inhaled corticosteroid treatment presents a major challenge to successful asthma management and risks inappropriate treatment escalation, particularly in severe disease. In patients with Type-2 mediated biology, fractional exhaled nitric oxide (FeNO) has a role in assessment and monitoring of adherence to inhaled corticosteroids. RECENT FINDINGS Asthmatic patients with elevated FeNO are at an increased risk of exacerbation. High FeNO is often secondary to suboptimal adherence to inhaled corticosteroid treatment, whether intentional or nonintentional. FENO-suppression can 'unmask' underlying adherence issues and is a useful test in the presence of Type-2 biology in the 'difficult-to-control' asthma population. Identification of nonadherence can improve asthma control and prevent inappropriate commencement of costly biologic therapies. SUMMARY Assessment of adherence and FeNO response to monitored inhaled corticosteroid in Type-2 biomarker high asthmatic individuals may prevent unnecessary escalation to biologic therapy. Establishing an 'optimised' FeNO may alert clinicians to the possibility of underlying nonadherence at future clinical assessments.","Butler, Claire A; Heaney, Liam G",Current opinion in allergy and clinical immunology,805,1
67433,67433,67433,A non-healing ulcer caused by a retained fish spine.,21.546305,9.864488,2021-05-29,"Newly designed styrylimidazolium-based grafted anion-exchange membranes (StIm-AEMs), in which imidazolium ionic groups are attached to styrene at the far side from the graft chains, were prepared by radiation-induced graft polymerization of p-(2-imidazoliumyl) styrene onto poly(ethylene-co-tetrafluoloethylene) (ETFE) films, followed by N-alkylation and ion-exchange reactions. StIm-AEM having an ion exchange capacity (IEC) of 0.54 mmol g-1 with a grafting degree (GD) of ∼18%, possesses practical conductivity (>50 mS cm-1) even with a very low water uptake (∼10%) and high stability over 600 h in a 1 M KOH solution at 80 °C. There exists a critical IEC (IECc) in the range of 0.7-0.8 mmol g-1 over which the membrane showed high water uptake, which resulted in pronounced susceptibility to hydrolysis. Using small-angle neutron scattering technique with a contrast variation method, we found the hydrophilic phase in StIm-AEMs with IECs lower and higher than IECc shows ""reverse-micelles"" with water domains dispersed in the polymer matrix and ""micelles"" with graft polymer aggregates dispersed in the water matrix, respectively. The further analysis of micelle structures using the hard-sphere liquid model and Porod limit analysis reveals that the interfacial structures of ionic groups are essential for the electrochemical properties and durability of StIm-AEMs. In addition, StIm-AEM with an IEC of 0.95 mmol g-1 and the maximum power density of 80 mW cm-2 in the hydrazine hydrate fuel cell test, exhibited long-term durability under constant current (8.0 mA) up to 455 h, which, thus far, is the best durability at 80 °C for platinum-free alkaline-type liquid fuel cells.","Zhao, Yue; Yoshimura, Kimio; Mahmoud, Ahmed Mohamed Ahmed; Yu, Hwan-Chul; Okushima, Shun; Hiroki, Akihiro; Kishiyama, Yoshihiro; Shishitani, Hideyuki; Yamaguchi, Susumu; Tanaka, Hirohisa; Noda, Yohei; Koizumi, Satoshi; Radulescu, Aurel; Maekawa, Yasunari",Soft matter,805,17
70787,70787,70787,Editor's picks.,21.597244,9.948559,2020-04-01,"Robots for picking in e-commerce warehouses require rapid computing of efficient and smooth robot arm motions between varying configurations. Recent results integrate grasp analysis with arm motion planning to compute optimal smooth arm motions; however, computation times on the order of tens of seconds dominate motion times. Recent advances in deep learning allow neural networks to quickly compute these motions; however, they lack the precision required to produce kinematically and dynamically feasible motions. While infeasible, the network-computed motions approximate the optimized results. The proposed method warm starts the optimization process by using the approximate motions as a starting point from which the optimizing motion planner refines to an optimized and feasible motion with few iterations. In experiments, the proposed deep learning-based warm-started optimizing motion planner reduces compute and motion time when compared to a sampling-based asymptotically optimal motion planner and an optimizing motion planner. When applied to grasp-optimized motion planning, the results suggest that deep learning can reduce the computation time by two orders of magnitude (300×), from 29 s to 80 ms, making it practical for e-commerce warehouse picking.","Ichnowski, Jeffrey; Avigal, Yahav; Satish, Vishal; Goldberg, Ken",Science robotics,805,24
80139,80139,80139,"Interventions to promote access to eye care for non-Indigenous, non-dominant ethnic groups in high-income countries: a scoping review protocol.",21.342007,6.5736995,2020-06-03,"BACKGROUND Rural health outcomes are often worse than their urban counterparts. While rural health theory recognizes the importance of the social determinants of health, there is a lack of insight into public perspectives for improving rural health beyond the provision of health-care services. Gaining insight into perceived solutions, that include and go beyond health- care, can help to inform resource allocation decisions to improve rural health. OBJECTIVE To identify and describe shared perspectives within a remote-rural community on how to improve rural health. METHOD Using Q methodology, a set of 40 statements were developed representing different perceptions of how to improve rural health. Residents of one remote-rural island community ranked this statement set according to their level of agreement. Card-sorts were analysed using factor analysis to identify shared points of view and interpreted alongside post-sort qualitative interviews. RESULTS Sixty-two respondents participated in the study. Four shared perspectives were identified, labelled: Local economic activity; Protect and care for the community; Redistribution of resources; and Investing in people. Factors converged on the need to relieve poverty and ensure access to amenities and services. DISCUSSION AND CONCLUSIONS Factors represent different elements of a multifaceted theory of rural health, indicating that 'lay' respondents are capable of comprehending various approaches to health improvement and perspectives are not homogenous within rural communities. Respondents diverged on the role of individuals, the public sector and 'empowered' community-based organizations in delivering these solutions, with implications for policy and practice. PUBLIC CONTRIBUTION Members of the public were involved in the development and piloting of the statement set.","Macaulay, Bobby; McHugh, Neil; Steiner, Artur",Health expectations : an international journal of public participation in health care and health policy,805,1
82708,82708,82708,Transferability of suggested molecular classifiers for psoriasis and eczema to the Chinese population.,21.593431,9.996848,2020-08-31,"The ability of ant colonies to transport, store, and distribute food resources through trophallaxis is a key advantage of social life. Nonetheless, how the structure of the digestive system has adapted across the ant phylogeny to facilitate these abilities is still not well understood. The crop and proventriculus, structures in the ant foregut (stomodeum), have received most attention for their roles in trophallaxis. However, potential roles of the esophagus have not been as well studied. Here, we report for the first time the presence of an auxiliary thoracic crop in Pheidole aberrans and Pheidole deima using X-ray micro-computed tomography and 3D segmentation. Additionally, we describe morphological modifications involving the endo- and exoskeleton that are associated with the presence of the thoracic crop. Our results indicate that the presence of a thoracic crop in major workers suggests their potential role as repletes or live food reservoirs, expanding the possibilities of tasks assumed by these individuals in the colony. Our contribution emphasizes the utility of combining data from external and internal morphology to better understand functional and behavioral mechanisms.","Casadei-Ferreira, A; Fischer, G; Economo, E P",Arthropod structure & development,805,16
85267,85267,85267,Hantaviruses as zoonotic pathogens in Germany.,21.41689,10.037286,2013,"Bladder cancer is a frequent malignancy and has a clinical need for new therapeutic approaches. Antibody and protein technologies came a long way in recent years and new engineering approaches were applied to generate innovative therapeutic entities with novel mechanisms of action. Furthermore, mRNA-based pharmaceuticals recently reached the market and CAR-T cells and viral-based gene therapy remain a major focus of biomedical research. This review focuses on the engineering of biologics, particularly therapeutic antibodies and their application in preclinical development and clinical trials, as well as approved monoclonal antibodies for the treatment of bladder cancer. Besides, newly emerging entities in the realm of bladder cancer like mRNA, gene therapy or cell-based therapeutics are discussed and evaluated. As many discussed molecules exhibit unique mechanisms of action based on innovative protein engineering, they reflect the next generation of cancer drugs. This review will shed light on the engineering strategies applied to develop these next generation treatments and provides deeper insights into their preclinical profiles, clinical stages, and ongoing trials. Furthermore, the distribution and expression of the targeted antigens and the intended mechanisms of action are elucidated.","Bogen, Jan P; Grzeschik, Julius; Jakobsen, Joern; Bähre, Alexandra; Hock, Björn; Kolmar, Harald",Frontiers in oncology,805,1
97109,97109,97109,Health insurance claim- and prescription record-based algorithms as a population-based method for eczema ascertainment.,21.546328,9.876381,2020-02-26,"Although a globe box-type highly contained laboratory with the internationally-recognized biosafety level-4 standards has been constructed in the Murayama Annex, the National Institute of Infectious Diseases, Tokyo, Japan (NIID) in 1981, the laboratory has never been operated as BSL-4 laboratory since its construction. Furthermore, there are no other BSL-4 laboratories in operation in Japan. The evidence indicates that infectious BSL-4 pathogens such as Ebola and Marburg viruses cannot be manipulated in Japan, making it impossible to study the BSL-4 pathogens using the infectious viruses. A large-scale outbreak of ebolavirus disease (EVD) has occurred in the western Africa such as Guinea, Sierra Leone, and Liberia. Furthermore, the highly pathogenic pathogens' infectious diseases outbreaks such as SARS, Nipah encephalitis, Middle East respiratory syndrome (MERS) have emerged in the world. However, BSL-4 laboratories are not present in Japan, making it difficult to study these pathogens and infectious diseases. Because these emerging virus infections are caused by the zoonotic pathogens, the eradiation and the elimination of these infectious diseases are impossible. We need to develop the diagnostics, therapeutics, and preventive measures based on the studies of the highly pathogenic pathogens more in detail using the infectious microbes. Therefore, BSL-4 in operation in Japan is required to minimize the risk of and combat these emerging highly pathogenic pathogens' infectious diseases.","Saijo, Masayuki; Morita, Kouichi",Uirusu,805,1
