,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
6216,6216,6216,Vaccine for Middle East respiratory syndrome,11.386131,12.248911,2015-10-01,,"Punzo, Christine",Biotechnology (N Y),500,9
8436,8436,8436,The emergence of a new corona virus—MERS-CoV: Hind sight is always 20/20,11.533369,12.1775465,2013-07-02,,"Khan, S.; Nabi, G.; Han, G.; Siddique, R.; Lian, S.; Shi, H.; Bashir, N.; Ali, A.; Shereen, M. Adnan",Clin Microbiol Infect,500,30
9402,9402,9402,MERS-CoV enigma deepens as reported cases surge,11.271684,12.13242,2014-05-23,"BACKGROUND: Antigens expressed in sexual stages of the malaria parasites are targets of transmission-blocking vaccines (TBVs). HAP2/GCS1, a TBV candidate, is critical for fertilization in Plasmodium. Here, the genetic diversity of PvHAP2 was studied in Plasmodium vivax parasite populations from the Greater Mekong Subregion (GMS). METHODS: Plasmodium vivax clinical isolates were collected in clinics from the China-Myanmar border region (135 samples), western Thailand (41 samples) and western Myanmar (51 samples). Near full-length Pvhap2 (nucleotides 13–2574) was amplified and sequenced from these isolates. Molecular evolution studies were conducted to evaluate the genetic diversity, selection and population differentiation. RESULTS: Sequencing of the pvhap2 gene for a total of 227 samples from the three P. vivax populations revealed limited genetic diversity of this gene in the GMS (π = 0.00036 ± 0.00003), with the highest π value observed in Myanmar (0.00053 ± 0.00009). Y133S was the dominant mutation in the China-Myanmar border (99.26%), Myanmar (100%) and Thailand (95.12%). Results of all neutrality tests were negative for all the three populations, suggesting the possible action of purifying selection. Codon-based tests identified specific codons which are under purifying or positive selections. Wright’s fixation index showed low to moderate genetic differentiation of P. vivax populations in the GMS, with F(ST) ranging from 0.04077 to 0.24833, whereas high levels of genetic differentiation were detected between the China-Myanmar border and Iran populations (F(ST) = 0.60266), and between Thailand and Iran populations (F(ST) = 0.44161). A total of 20 haplotypes were identified, with H2 being the abundant haplotype in China-Myanmar border, Myanmar and Thailand populations. Epitope mapping prediction of Pvhap2 antigen showed that high-score B-cell epitopes are located in the S307-G324, L429-P453 and V623-D637 regions. The E317K and D637N mutations located within S307-G324 and V623-D637 epitopes slightly reduced the predicted score for potential epitopes. CONCLUSIONS: The present study showed a very low level of genetic diversity of pvhap2 gene among P. vivax populations in the Greater Mekong Subregion. The relative conservation of pvhap2 supports further evaluation of a Pvhap2-based TBV. [Image: see text]","Li, Danni; Yu, Chunyun; Guo, Jian; Wang, Yazhou; Zhao, Yan; Wang, Lin; Soe, Myat Thu; Feng, Hui; Kyaw, Myat Phone; Sattabongkot, Jetsumon; Jiang, Lubin; Cui, Liwang; Zhu, Xiaotong; Cao, Yaming",Parasit Vectors,500,1
25524,25524,25524,Foodborne Disease in the Middle East,11.404682,12.423058,2016-11-25,1. Understand the roles and responsibilities of health care managers in infection prevention and control in health care organizations. 2. Apply epidemiologic principles to manage an outbreak of a transmissible disease in a health care setting. 3. Develop a strategy for infection prevention in a health care setting.,"Oleske, Denise M.",Epidemiology and the Delivery of Health Care Services,500,17
27162,27162,27162,The nucleocapsid protein of SARS CoV interacts with PIAS1 and affects the NFkappaB pathway,11.472544,12.006992,2010-03-06,,"Malarewicz, Julien; Kirchacker, Romain; Annane, Djillali",Prat Anesth Reanim,500,20
27261,27261,27261,"Serological investigation of MERS-CoV in humans between 2011-2016, Jeddah, Saudi Arabia",11.413841,12.452769,2019-01-08,,"Heymann, D.",Int J Infect Dis,500,30
29418,29418,29418,Emerging and Reemerging Infectious Disease Threats,11.384041,12.010913,2014-10-31,,"Osorio, J.E.; Yuill, T.M.",Encyclopedia of Virology,500,17
29739,29739,29739,Infections in Recipients of Hematopoietic Stem Cell Transplants,11.482159,12.2447815,2014-10-31,,"Hallouët, Pascal; Borry, Anne",M&#x000e9;mo-guide de biologie et de physiologie humaines,500,8
29800,29800,29800,Antiviral Drugs for Influenza and Other Respiratory Virus Infections,11.415809,12.128076,2014-10-31,,"Race, Jeffrey D.; Nichols, Carey; Blumenthal, Susan R.",Ciottone's Disaster Medicine,500,28
30471,30471,30471,"First Confirmed Cases of Middle East Respiratory Syndrome Coronavirus (MERS‐CoV) Infection in the United States, Updated Information on the Epidemiology of MERS‐CoV Infection, and Guidance for the Public, Clinicians, and Public Health Authorities—May 2014",11.142039,12.38064,2014-06-20,,"Marini, Robert P.; Otto, Glen; Erdman, Susan; Palley, Lori; Fox, James G.",Laboratory Animal Medicine,500,9
31427,31427,31427,Prophylaxis and Empirical Therapy of Infection in Cancer Patients,11.245999,12.372113,2014-10-31,"The emergence of a new viral disease is one of the most dramatic aspects of virology, which often receives widespread attention from the scientific community and the lay public. Considering that the discipline of animal virology was established over 100 years ago, it may seem surprising that new virus diseases are still being discovered. How this happens is the subject of this chapter.","Le Duc, James W.; Nathanson, Neal",Viral Pathogenesis,500,1
31475,31475,31475,"Otitis Externa, Otitis Media, and Mastoiditis",11.27267,12.251364,2014-10-31,,"Pierangeli, A.; Scagnolari, C.; Trombetti, S.; Di Marco, P.; Midulla, F.; Moretti, C.; Antonelli, G.",Int J Antimicrob Agents,500,1
31506,31506,31506,Respiratory Syncytial Virus (RSV),11.283016,12.112784,2014-10-31,,,J Virol Methods,500,28
48986,48986,48986,China’s MSRI in Africa and the Middle East: Political Economic Realities Continue to Shape Results and Ramifications,11.401409,12.116628,2020-12-01,"There are many evaluation frameworks for blended teaching; however, there are few suitable frameworks for Blended Learning (BL). This chapter presents an evaluation framework that was designed to span school and university BL, including Initial Teacher Eduction (ITE). An appropriate evaluation framework must show how effective each BL design and implementation is, at the level of a term or semester of study, and at the larger scale, such as across primary, middle, or secondary school, or programmes of study such as an ITE bachelor or master’s. This chapter first identifies eight features from the literature that are necessary for a BL evaluation framework, and shows that existing models do not satisfy these requirements. Next, the chapter introduces the Blended and Engaged Learning Zones (BELZ), designed specifically for BL across schooling and university studies, and that satisfies these eight features. An example follows of a version of BELZ used to evaluate BL in the years prior to a substantial three-term long inquiry task. BELZ addresses the imbalance in the literature, as well as the needs in teaching practice, for an evaluation framework for BL across schooling and university study.","Willison, John","Critical Perspectives on Teaching, Learning and Leadership",500,7
