,title_x,publish_time_x,abstract,authors,journal,url,category
330,Multiple lung abscesses due to acinetobacter infection: a case report,2009-12-18,"Acinetobacter species are well-known causes of nosocomial infections. Recent increasing evidence emphasize on the role of these pathogens in community-acquired infections. We report a case of a 16-yr-old female with fever, sore throat, productive cough, malaise and the presence of lung consolidation with multiple abscesses on radiographic examination. The patient had no significant medical history. After a detailed diagnostic work-up the diagnosis of community acquired Acinetobacter pneumonia with multiple lung abscesses was made. The Acinetobacter stain was susceptible to a variety of antimicrobial agents and the patient's condition improved rapidly. A new computed tomography chest scan, three months later, confirmed full recovery. The presence of lung abscesses due to Acinetobacter infection is an extremely uncommon manifestation of the disease. This case underlines the emergent role which these, often multi-drug resistant, bacteria may play in the future, perhaps in community infections as well.","Kokkonouzis, Ioannis; Christou, Ioannis; Athanasopoulos, Ioannis; Saridis, Nikolaos; Skoufaras, Vasilios",Cases J,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2804000/,154
1166,Microarray analysis of MicroRNA expression in peripheral blood mononuclear cells of critically ill patients with influenza A (H1N1),2013-06-03,"BACKGROUND: With concerns about the disastrous health and economic consequences caused by the influenza pandemic, comprehensively understanding the global host response to influenza virus infection is urgent. The role of microRNA (miRNA) has recently been highlighted in pathogen-host interactions. However, the precise role of miRNAs in the pathogenesis of influenza virus infection in humans, especially in critically ill patients is still unclear. METHODS: We identified cellular miRNAs involved in the host response to influenza virus infection by performing comprehensive miRNA profiling in peripheral blood mononuclear cells (PBMCs) from critically ill patients with swine-origin influenza pandemic H1N1 (2009) virus infection via miRNA microarray and quantitative reverse-transcription polymerase chain reaction (qRT-PCR) assays. Receiver operator characteristic (ROC) curve analysis was conducted and area under the ROC curve (AUC) was calculated to evaluate the diagnostic accuracy of severe H1N1 influenza virus infection. Furthermore, an integrative network of miRNA-mediated host-influenza virus protein interactions was constructed by integrating the predicted and validated miRNA-gene interaction data with influenza virus and host-protein-protein interaction information using Cytoscape software. Moreover, several hub genes in the network were selected and validated by qRT-PCR. RESULTS: Forty-one significantly differentially expressed miRNAs were found by miRNA microarray; nine were selected and validated by qRT-PCR. QRT-PCR assay and ROC curve analyses revealed that miR-31, miR-29a and miR-148a all had significant potential diagnostic value for critically ill patients infected with H1N1 influenza virus, which yielded AUC of 0.9510, 0.8951 and 0.8811, respectively. We subsequently constructed an integrative network of miRNA-mediated host-influenza virus protein interactions, wherein we found that miRNAs are involved in regulating important pathways, such as mitogen-activated protein kinase signaling pathway, epidermal growth factor receptor signaling pathway, and Toll-like receptor signaling pathway, during influenza virus infection. Some of differentially expressed miRNAs via in silico analysis targeted mRNAs of several key genes in these pathways. The mRNA expression level of tumor protein T53 and transforming growth factor beta receptor 1 were found significantly reduced in critically ill patients, whereas the expression of Janus kinase 2, caspase 3 apoptosis-related cysteine peptidase, interleukin 10, and myxovirus resistance 1 were extremely increased in critically ill patients. CONCLUSIONS: Our data suggest that the dysregulation of miRNAs in the PBMCs of H1N1 critically ill patients can regulate a number of key genes in the major signaling pathways associated with influenza virus infection. These differentially expressed miRNAs could be potential therapeutic targets or biomarkers for severe influenza virus infection.","Song, Hao; Wang, Qi; Guo, Yang; Liu, Shunai; Song, Rui; Gao, Xuesong; Dai, Li; Li, Baoshun; Zhang, Deli; Cheng, Jun",BMC Infect Dis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3679792/,154
2107,"Arthralgias, fatigue, paresthesias and visceral pain: can joint hypermobility solve the puzzle? A case report",2016-02-04,"BACKGROUND: Joint hypermobility syndrome describes a disorder in which musculoskeletal pain occurs in a generalized joint hypermobility substrate. The clinical picture comprises variable manifestations which involve mainly but not exclusively the musculoskeletal system, and evolve over the person’s lifetime. CASE PRESENTATION: Describing the case of a 20-year-old female with generalized arthro-myalgias, persistent fatigue and troublesome visceral pain, we illustrate how a frequently ignored clinical sign such as joint hypermobility can be the keystone to clarify different simultaneous symptoms. All of the patient’s physical complaints had been investigated separately during her previous medical examinations, and several tests repeatedly gave negative results. The patient received different diagnoses that describe only part of her problems, such as irritable bowel syndrome for visceral pain, fibromyalgia for arthralgias or depression for fatigue. These approaches gave rise to pharmacological or physical treatments which did not improve her quality of life in any way and in some instances worsened the situation. Pronounced joint hypermobility which led the patient to flex her joints excessively, causing subluxations in several districts, was the only sign overlooked. CONCLUSION: Exploring the patient’s articular features in her clinical context led us to diagnose joint hypermobility syndrome, a complex and often ignored condition. The case highlights the utility of a multidisciplinary approach and coordinated interventions to define and manage this clinical entity.","Folci, Marco; Capsoni, Franco",BMC Musculoskelet Disord,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4743317/,154
2539,The dangers of accepting a single diagnosis: case report of concurrent Plasmodium knowlesi malaria and dengue infection,2017-01-03,"BACKGROUND: Dengue and malaria are two common, mosquito-borne infections, which may lead to mortality if not managed properly. Concurrent infections of dengue and malaria are rare due to the different habitats of its vectors and activities of different carrier mosquitoes. The first case reported was in 2005. Since then, several concurrent infections have been reported between the dengue virus (DENV) and the malaria protozoans, Plasmodium falciparum and Plasmodium vivax. Symptoms of each infection may be masked by a simultaneous second infection, resulting in late treatment and severe complications. Plasmodium knowlesi is also a common cause of malaria in Malaysia with one of the highest rates of mortality. This report is one of the earliest in literature of concomitant infection between DENV and P. knowlesi in which a delay in diagnosis had placed a patient in a life-threatening situation. CASE PRESENTATION: A 59-year old man staying near the Belum-Temengor rainforest at the Malaysia–Thailand border was admitted with fever for 6 days, with respiratory distress. His non-structural protein 1 antigen and Anti-DENV Immunoglobulin M tests were positive. He was treated for severe dengue with compensated shock. Treating the dengue had so distracted the clinicians that a blood film for the malaria parasite was not done. Despite aggressive supportive treatment in the intensive care unit (ICU), the patient had unresolved acidosis as well as multi-organ failure involving respiratory, renal, liver, and haematological systems. It was due to the presentation of shivering in the ICU, that a blood film was done on the second day that revealed the presence of P. knowlesi with a parasite count of 520,000/μL. The patient was subsequently treated with artesunate-doxycycline and made a good recovery after nine days in ICU. CONCLUSIONS: This case contributes to the body of literature on co-infection between DENV and P. knowlesi and highlights the clinical consequences, which can be severe. Awareness should be raised among health-care workers on the possibility of dengue-malaria co-infection in this region. Further research is required to determine the real incidence and risk of co-infection in order to improve the management of acute febrile illness.","Chong, Soon Eu; Mohamad Zaini, Rhendra Hardy; Suraiya, Siti; Lee, Kok Tong; Lim, Jo Anne",Malar J,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5210313/,154
2596,Pulmonary toxicity after intraperitoneal mitomycin C: a case report of a rare complication of HIPEC,2017-02-20,"BACKGROUND: Cytoreductive surgery combined with hyperthermic intraperitoneal chemotherapy (CRS/HIPEC) has become a common treatment approach for disseminated appendiceal neoplasms. Systemic absorption of intraperitoneal chemotherapeutics may lead to drug-induced toxicity, most commonly neutropenia. Mitomycin C has been the most commonly used chemotherapeutic in HIPEC for the past several decades. CASE PRESENTATION: Here, we describe a rare pulmonary complication secondary to intraperitoneal administration of mitomycin C. CONCLUSIONS: While rare, intraperitoneal mitomycin C has the potential to cause serious pulmonary toxicity that should be considered with administration. To our knowledge, this report represents only the second case described in the literature.","Abel, Melissa L.; Kokosis, George; Blazer, Dan G.",World J Surg Oncol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5319179/,154
2914,An Unusual Cause of Fever in a Patient with Common Variable Immunodeficiency,2017-09-01,,"Dang, Andrew T.; Schwartz, Gene; Jones, LaQuita; Absalon, Michael J.; McMasters, Richard L.; Assa’ad, Amal","Annals of Allergy, Asthma & Immunology",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672827/,154
3172,Acute exacerbation of idiopathic pulmonary fibrosis triggered by Aspergillus empyema,2018-01-31,"Acute exacerbation (AE) is a severe and life-threatening complication of idiopathic pulmonary fibrosis (IPF). In 2016, the definition and diagnostic criteria for AE-IPF were updated by an international working group. The new definition includes any acute, clinically significant respiratory deterioration (both idiopathic and triggered events) characterized by evidence of new widespread alveolar abnormality in patients with IPF. There are no currently proven beneficial management strategies for idiopathic and triggered AE-IPF. This is the first report describing AE-IPF triggered by Aspergillus empyema, which was improved by a combination of corticosteroid, systemic antifungal therapy, local antifungal therapy, and additional pharmacological therapies. Future research may reveal optimal strategies for both idiopathic and triggered AE-IPF.","Suzuki, Atsushi; Kimura, Tomoki; Kataoka, Kensuke; Matsuda, Toshiaki; Yokoyama, Toshiki; Mori, Yuta; Kondoh, Yasuhiro",Respir Med Case Rep,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5925856/,154
3204,Severe immunodeficiency associated with acute lymphoblastic leukemia and its treatment,2018-05-01,,"Raje, Nikita; Snyder, Brenda L.; Hill, David A.; Streicher, Jenna L.; Sullivan, Kate E.","Annals of Allergy, Asthma & Immunology",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5975371/,154
3685,Multidrug Resistant Gram-Negative Bacteria in Community-Acquired Pneumonia,2019-03-09,This article is one of ten reviews selected from the Annual Update in Intensive Care and Emergency Medicine 2019. Other selected articles can be found online at https://www.biomedcentral.com/collections/annualupdate2019. Further information about the Annual Update in Intensive Care and Emergency Medicine is available from http://www.springer.com/series/8901.,"Cillóniz, Catia; Dominedò, Cristina; Torres, Antoni",Crit Care,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6408800/,154
4267,Infection prevention practices in the Netherlands: results from a National Survey,2020-01-06,"OBJECTIVE: To examine the extent to which acute care hospitals in the Netherlands have adopted recommended practices to prevent catheter-associated urinary tract infection (CAUTI), central line-associated bloodstream infection (CLABSI), ventilator-associated pneumonia (VAP), and Clostridioides difficile infection (CDI). METHODS: Between 18 July 2017 and 31 October 2017, we surveyed the infection prevention teams of all acute care hospitals in the Netherlands. The survey instrument was based on the ‘Translating Healthcare-Associated Infection Prevention Research into Practice’ (TRIP) questionnaire and adapted to the Dutch context. Descriptive statistics were used to examine the reported regular use of CAUTI, CLABSI, VAP, and CDI prevention practices as well as the hospital characteristics. RESULTS: Out of 72 eligible hospitals, 47 (65.3%) responded. Surveillance systems for monitoring CAUTI, CLABSI, VAP, and CDI were present in 17.8, 95.4, 26.2, and 77.3% of hospitals, respectively. Antimicrobial stewardship programs have been established in 91.5% of participating hospitals. For CAUTI, the majority of hospitals regularly used aseptic technique during catheter insertion (95%) and portable bladder ultrasound scanners (86.1%). Intermittent catheterization and catheter stop-orders were regularly used by 65.8 and 62.2% of hospitals. For CLABSI, all hospitals regularly used maximum sterile barrier precautions and chlorhexidine gluconate for insertion site antisepsis. Avoidance of the femoral site for central line insertions was regularly used by 65.9% of hospitals. Urinary catheters and central-lines impregnated with antibiotics or antiseptics were rarely used (≤ 5%). Selective decontamination strategies for preventing VAP were used in 84% of hospitals. With the exception of disposable thermometers (31.8%), all prevention practices to prevent CDI were regularly used by more than 80% of hospitals. CONCLUSIONS: Most Dutch hospitals report regular use of recommended practices for preventing CLABSI and CDI. Several specific practices to prevent CAUTI and VAP were less frequently used, however, providing an opportunity for improvement.","Huis, Anita; Schouten, Jeroen; Lescure, Dominique; Krein, Sarah; Ratz, David; Saint, Sanjay; Hulscher, Marlies; Greene, M. Todd",Antimicrob Resist Infect Control,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945725/,154
