,title_x,publish_time_x,abstract,authors,journal,url,category
1307,Review on Sphaeranthus indicus Linn. (Koṭṭaikkarantai),2013,"Sphaeranthus indicus Linn. is from the aroma family Asteraceae. It is also known with other synonyms such as Munditika, Mundi, Shravana, Bhikshu, Tapodhana, Mahashravani, Shravanahva, Shravanashirshaka. It is abundantly distributed in damp areas in plains and also as a weed in the rice fields. In the Indian system of medicine, the plant as a whole plant or its different anatomical parts viz., leaf, stem, bark, root, flower and seed are widely used for curing many diseases. The plant is bitter, stomachic, restorative, alterative, pectoral, demulcent and externally soothing. The whole plant and its anatomical parts have been reported with different types of secondary metabolites which include eudesmanolides, sesquiterpenoids, sesquiterpene lactones, sesquiterpene acids, flavone glycosides, flavonoid C-glycosides, isoflavone glycoside, sterols, sterol glycoside, alkaloid, peptide alkaloids, amino acids and sugars. The essential oils obtained from the flowers and whole plants were analyzed by different authors and reported the presence of many monoterpene hydrocarbons, oxygenated monoterpenes, sesquiterpene hydrocarbons and oxygenated sesquiterpenes. The whole plants, its isolated secondary metabolites and different anatomical parts have been reported for ovicidal, antifeedant, anthelmintic, antimicrobial, antiviral, macrofilaricidal, larvicidal, analgesic, antipyretic, hepatoprotective, antitussive, wound healing, bronchodilatory, mast cell stabilizing activity, anxiolytic, neuroleptic, immunomodulatory, anti-diabetic, antihyperlipidemic and antioxidant, antioxidant, central nervous system depressant, anti-arthritic, nephroprotective, anticonvulsant activities and many other activities. It is also effective on psoriasis. In the present paper, the plant is reviewed for its phytochemical and pharmacological reports in detail.","Ramachandran, Shakila",Pharmacogn Rev,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841994/,285
10647,Decreasing Usage of Lights and Sirens in an Urban Environment: A Quality Improvement Project,2020-03-30,"OBJECTIVE: Herpes simplex virus (HSV) encephalitis has an overall mortality rate of 11%–29% with treatment. Although rare, HSV encephalitis is frequently tested for and empirically treated, especially in the neonatal population. HSV infection can be diagnosed with polymerase chain reaction (PCR) testing, although this frequently requires sending samples to reference laboratories. The inherent delay in results may lead to prolonging empiric treatment and hospital stay, resulting in increased costs. This study investigates whether onsite HSV PCR testing decreases hospitalization duration, acyclovir treatment duration, and financial cost on an institution. PROJECT DESIGN: This single-center project utilized the IHI model for improvement to evaluate third-party HSV PCR processing versus an implemented onsite PCR-based meningitis–encephalitis panel for HSV central nervous system evaluation. The primary outcome was hospital cost differential with secondary outcomes, including duration of acyclovir administration and time to result. RESULTS: We identified 96 children age 0–18 from 2010 to 2016, 74 patients utilizing offsite third-party testing, and 22 patients utilizing onsite. We observed a per-patient cost savings of $428 ($618.43–$190.43, P = 0.029) upon the implementation of onsite testing. The mean duration of acyclovir therapy decreased from 3.7 to 0.26 days per patient (P < 0.001). Time to result decreased from 4.6 to 0.13 days (P < 0.001). CONCLUSIONS: Acquisition of real-time local HSV PCR capabilities significantly decreased time to result and empiric medication use while significantly reducing hospital costs in a military treatment facility.","Weber, Zachary; Sutter, Deena; Baltensperger, Austin; Carr, Nicholas",Pediatr Qual Saf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7190250/,285
15993,Short and long term impact of combining restrictive and enabling interventions to reduce aztreonam consumption in a community hospital,2021-03-07,Neurophotonics Editor in Chief Anna Devor outlines a vision for the journal.,"Devor, Anna",Neurophotonics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7937575/,285
16202,Impact of the 2003 to 2018 Population Salt Intake Reduction Program in England: A Modeling Study,2021-03-01,"BACKGROUND: Dynamic change of heart rate in the acute phase and clinical outcomes after intracerebral hemorrhage (ICH) remains unknown. We aimed to investigate the associations of heart rate trajectories and variability with functional outcome and mortality in patients with acute ICH. METHODS: This prospective study was conducted among 332 patients with acute ICH. Latent mixture modeling was used to identify heart rate trajectories during the first 72 h of hospitalization after ICH onset. Mean and coefficient of variation of heart rate measurements were calculated. The study outcomes included unfavorable functional outcome, ordinal shift of modified Rankin Scale score, and all-cause mortality. RESULTS: We identified 3 distinct heart rate trajectory patterns (persistent-high, moderate-stable, and low-stable). During 3-month follow-up, 103 (31.0%) patients had unfavorable functional outcome and 46 (13.9%) patients died. In multivariable-adjusted model, compared with patients in low-stable trajectory, patients in persistent-high trajectory had the highest odds of poor functional outcome (odds ratio 15.06, 95% CI 3.67–61.78). Higher mean and coefficient of variation of heart rate were also associated with increased risk of unfavorable functional outcome (P trend < 0.05), and the corresponding odds ratios (95% CI) comparing two extreme tertiles were 4.69 (2.04–10.75) and 2.43 (1.09–5.39), respectively. Likewise, similar prognostic effects of heart rate dynamic changes on high modified Rankin Scale score and all-cause mortality were observed. CONCLUSIONS: Persistently high heart rate and higher variability in the acute phase were associated with increased risk of unfavorable functional outcome in patients with acute ICH. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s40560-021-00540-0.","You, Shoujiang; Wang, Yupin; Lu, Zian; Chu, Dandan; Han, Qiao; Xu, Jiaping; Liu, Chun-Feng; Cao, Yongjun; Zhong, Chongke",J Intensive Care,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7971394/,285
16303,La littérature médicale mondiale : obstétrique,2021-03-23,"Animal disease models are necessary in medical research, and an appropriate animal model is of great importance for studies about the prevention or treatment of cancer. The most important thing in the selection of animal models is to consider the similarity between animals and humans. The tree shrew (Tupaia belangeri) is a squirrel-like mammal which placed in the order Scandentia. Whole-genome sequencing has revealed that tree shrews are extremely similar to primate and humans than to rodents, with many highly conserved genes, which makes the data from studies that use tree shrews as models more convincing and the research outcomes more easily translatable. In tumor research, tree shrews are often used as animal models for hepatic and mammary cancers. As research has progressed, other types of tree shrew tumor models have been developed and exhibit clinical manifestations similar to those of humans. Combining the advantages of both rodents and primates, the tree shrew is expected to be the most powerful animal model for studying tumors.","Lu, Tao; Peng, Hongmei; Zhong, Liping; Wu, Pan; He, Jian; Deng, Zhiming; Huang, Yong",Front Oncol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7985444/,285
20767,Advanced airway management and respiratory care in decompensated pulmonary hypertension,2021-09-02,,"Klinge, Kay; Bleckwenn, Markus",MMW Fortschr Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8413695/,285
27277,JOGC Update Page,2017-07-18,,,Aust Crit Care,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128967/,285
27751,Author indexes,2006-05-26,,,Rev Med Interne,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7131225/,285
28476,COVID-19 virus - EFOMP President's message,2020-04-09,"Die Gabe von Blut und Blutprodukten bedarf einer strengen Indikationstellung. Es ist zu berücksichtigen, dass das verschreibungspflichtige Arzneimittel „Blut“ aus verschiedenen Anteilen besteht, deren Gabe zu vielfältigen Nebenwirkungen beim Patienten führen kann. Transfusionsgesetz. Richtlinien zur Gewinnung von Blut und Blutbestandteilen und zur Anwendung von Blutprodukten (Hämotherapie). Leitlinien zur Therapie mit Blutkomponenten und Plasmaderivaten der Bundesärztekammer;","Sibrowski, W.; Krakowitzky, P.",Therapie innerer Krankheiten,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7136936/,285
30613,CEROPEGIAS IN SAUDI ARABIA,2008-06-28,Computed tomography diagnosis of brain infarction in dogs · Tibial tuberosity advancement in canine stifles · Holter monitoring in dogs with mitral valve disease · Staggers in horses grazing paspalum infected with Claviceps paspali · Distal luxation of the patella in a horse · Escherichia coli and Salmonella serotypes in sheep at slaughter · Alzheimer type II astrocytes in the brains of pigs with salt poisoning · Classification of infectious bronchitis viruses in poultry field specimens · Mortality events in sea‐caged yellowtail kingfish,"Jackson, AE",Aust Vet J,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7159546/,285
