,title_x,publish_time_x,abstract,authors,journal,url,category
748,New Cardiovascular and Pulmonary Therapeutic Strategies Based on the Angiotensin-Converting Enzyme 2/Angiotensin-(1–7)/Mas Receptor Axis,2012-01-26,"Angiotensin (Ang)-(1–7) is now recognized as a biologically active component of the renin-angiotensin system (RAS). The discovery of the angiotensin-converting enzyme homologue ACE2 revealed important metabolic pathways involved in the Ang-(1–7) synthesis. This enzyme can form Ang-(1–7) from Ang II or less efficiently through hydrolysis of Ang I to Ang-(1–9) with subsequent Ang-(1–7) formation. Additionally, it is well established that the G protein-coupled receptor Mas is a functional ligand site for Ang-(1–7). The axis formed by ACE2/Ang-(1–7)/Mas represents an endogenous counter regulatory pathway within the RAS whose actions are opposite to the vasoconstrictor/proliferative arm of the RAS constituted by ACE/Ang II/AT(1) receptor. In this review we will discuss recent findings concerning the biological role of the ACE2/Ang-(1–7)/Mas arm in the cardiovascular and pulmonary system. Also, we will highlight the initiatives to develop potential therapeutic strategies based on this axis.","Ferreira, Anderson J.; Murça, Tatiane M.; Fraga-Silva, Rodrigo A.; Castro, Carlos Henrique; Raizada, Mohan K.; Santos, Robson A. S.",Int J Hypertens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3272817/,290
1378,Effect of the One-Child Policy on Influenza Transmission in China: A Stochastic Transmission Model,2014-02-06,"BACKGROUND: China's one-child-per-couple policy, introduced in 1979, led to profound demographic changes for nearly a quarter of the world's population. Several decades later, the consequences include decreased fertility rates, population aging, decreased household sizes, changes in family structure, and imbalanced sex ratios. The epidemiology of communicable diseases may have been affected by these changes since the transmission dynamics of infectious diseases depend on demographic characteristics of the population. Of particular interest is influenza because China and Southeast Asia lie at the center of a global transmission network of influenza. Moreover, changes in household structure may affect influenza transmission. Is it possible that the pronounced demographic changes that have occurred in China have affected influenza transmission? METHODS AND FINDINGS: To address this question, we developed a continuous-time, stochastic, individual-based simulation model for influenza transmission. With this model, we simulated 30 years of influenza transmission and compared influenza transmission rates in populations with and without the one-child policy control. We found that the average annual attack rate is reduced by 6.08% (SD 2.21%) in the presence of the one-child policy compared to a population in which no demographic changes occurred. There was no discernible difference in the secondary attack rate, −0.15% (SD 1.85%), between the populations with and without a one-child policy. We also forecasted influenza transmission over a ten-year time period in a population with a two-child policy under a hypothesis that a two-child-per-couple policy will be carried out in 2015, and found a negligible difference in the average annual attack rate compared to the population with the one-child policy. CONCLUSIONS: This study found that the average annual attack rate is slightly lowered in a population with a one-child policy, which may have resulted from a decrease in household size and the proportion of children in the population.","Liu, Fengchen; Enanoria, Wayne T. A.; Ray, Kathryn J.; Coffee, Megan P.; Gordon, Aubree; Aragón, Tomás J.; Yu, Guowei; Cowling, Benjamin J.; Porco, Travis C.",PLoS One,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3916292/,290
1470,Comparative Analysis of Lycorine in Wild Plant and Callus Culture Samples of Hymenocallis littoralis by HPLC-UV Method,2014-05-06,"The Hymenocallis littoralis, an ornamental and medicinal plant, had been traditionally used for wound healing. In the present study, an analytical method using HPLC with ultraviolet detection was developed for the quantification of lycorine in the extracts of different parts of wild plant and tissue culture samples of H. littoralis. The separation was achieved using a reversed-phase column. The method was found to be accurate, repeatable, and sensitive for the quantification of minute amount of lycorine present in the samples. The highest lycorine content was found in the bulb extract (2.54 ± 0.02 μg/mg) whereas the least was in the root extract (0.71 ± 0.02 μg/mg) of the wild plants. Few callus culture samples had high content of lycorine, comparable to that of wild plants. The results showed that plant growth regulators, 2,4-dichlorophenoxyacetic acid (2,4-D) alone at 4.5 μM (2.58 ± 0.38 μg/mg) or a combination of 2,4-D at 9.00 μM with 4.5 μM of 6-benzylaminopurine (BAP), were the optimum concentrations for the production of high lycorine (2.45 ± 0.15 μg/mg) content in callus culture. The present analytical method could be of value for routine quantification of lycorine in the tissue culture production and standardization of the raw material or extracts of H. littoralis.","Subramaniam, Sreeramanan; Sundarasekar, Jeevandran; Sahgal, Geethaa; Murugaiyah, Vikneswaran",ScientificWorldJournal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033353/,290
1676,Chemical and Biological Mechanisms of Pathogen Reduction Technologies,2014-08-20,"Within the last decade new technologies have been developed and implemented which employ light, often in the presence of a photosensitizer, to inactivate pathogens that reside in human blood products for the purpose of transfusion. These pathogen reduction technologies attempt to find the proper balance between pathogen kill and cell quality. Each system utilizes various chemistries that not only impact which pathogens they can inactivate and how, but also how the treatments affect the plasma and cellular proteins and to what degree. This paper aims to present the various chemical mechanisms for pathogen reduction in transfusion medicine that are currently practiced or in development.","Mundt, Janna M; Rouse, Lindsay; Van den Bossche, Jeroen; Goodrich, Raymond P",Photochem Photobiol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4277684/,290
1908,The role of heterogeneity in contact timing and duration in network models of influenza spread in schools,2015-07-06,"Influenza poses a significant health threat to children, and schools may play a critical role in community outbreaks. Mathematical outbreak models require assumptions about contact rates and patterns among students, but the level of temporal granularity required to produce reliable results is unclear. We collected objective contact data from students aged 5–14 at an elementary school and middle school in the state of Utah, USA, and paired those data with a novel, data-based model of influenza transmission in schools. Our simulations produced within-school transmission averages consistent with published estimates. We compared simulated outbreaks over the full resolution dynamic network with simulations on networks with averaged representations of contact timing and duration. For both schools, averaging the timing of contacts over one or two school days caused average outbreak sizes to increase by 1–8%. Averaging both contact timing and pairwise contact durations caused average outbreak sizes to increase by 10% at the middle school and 72% at the elementary school. Averaging contact durations separately across within-class and between-class contacts reduced the increase for the elementary school to 5%. Thus, the effect of ignoring details about contact timing and duration in school contact networks on outbreak size modelling can vary across different schools.","Toth, Damon J. A.; Leecaster, Molly; Pettey, Warren B. P.; Gundlapalli, Adi V.; Gao, Hongjiang; Rainey, Jeanette J.; Uzicanin, Amra; Samore, Matthew H.",J R Soc Interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4528592/,290
2382,Inferring R(0) in emerging epidemics—the effect of common population structure is small,2016-08-11,"When controlling an emerging outbreak of an infectious disease, it is essential to know the key epidemiological parameters, such as the basic reproduction number R(0) and the control effort required to prevent a large outbreak. These parameters are estimated from the observed incidence of new cases and information about the infectious contact structures of the population in which the disease spreads. However, the relevant infectious contact structures for new, emerging infections are often unknown or hard to obtain. Here, we show that, for many common true underlying heterogeneous contact structures, the simplification to neglect such structures and instead assume that all contacts are made homogeneously in the whole population results in conservative estimates for R(0) and the required control effort. This means that robust control policies can be planned during the early stages of an outbreak, using such conservative estimates of the required control effort.","Trapman, Pieter; Ball, Frank; Dhersin, Jean-Stéphane; Tran, Viet Chi; Wallinga, Jacco; Britton, Tom",J R Soc Interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5014060/,290
2608,Abstracts from the 2017 American College of Medical Toxicology (ACMT) Annual Scientific Meeting,2017-02-23,"These are the abstracts of the 2017 American College of Medical Toxicology (ACMT) Annual Scientific Meeting. Included here are 120 abstracts that will be presented in March 2017, including research studies from around the globe and the ToxIC collaboration, clinically significant case reports describing new toxicologic phenomena, and encore presentations from other scientific meetings.",,J Med Toxicol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5330968/,290
4241,Interplay between cost and effectiveness in influenza vaccine uptake: a vaccination game approach,2019-12-18,"Pre-emptive vaccination is regarded as one of the most protective measures to control influenza outbreak. There are mainly two types of influenza viruses—influenza A and B with several subtypes—that are commonly found to circulate among humans. The traditional trivalent (TIV) flu vaccine targets two strains of influenza A and one strain of influenza B. The quadrivalent (QIV) vaccine targets one extra B virus strain that ensures better protection against influenza; however, the use of QIV vaccine can be costly, hence impose an extra financial burden to society. This scenario might create a dilemma in choosing vaccine types at the individual level. This article endeavours to explain such a dilemma through the framework of a vaccination game, where individuals can opt for one of the three options: choose either of QIV or TIV vaccine or none. Our approach presumes a mean-field framework of a vaccination game in an infinite and well-mixed population, entangling the disease spreading process of influenza with the coevolution of two types of vaccination decision-making processes taking place before an epidemic season. We conduct a series of numerical simulations as an attempt to illustrate different scenarios. The framework has been validated by the so-called multi-agent simulation (MAS) approach.","Arefin, Md. Rajib; Masaki, Tanaka; Kabir, K. M. Ariful; Tanimoto, Jun",Proc Math Phys Eng Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6936611/,290
4750,"Abstracts: 8th EBSA European Biophysics Congress, August 23rd–27th 2011, Budapest, Hungary",2011-08-06,"Unusual biological threats demand adequate preparedness efforts, as demonstrated, for example, by the Ebola virus disease outbreak in West Africa in 2014/2015 and pandemic influenza in 2009/2010. In Germany, responsibilities for such efforts are located in different governmental authorities and differ from state to state. As a result, there are many different preparedness approaches using divergent core terminology. In this article a common definition for the term “unusual biological incident” is proposed. To do so, a literature review as well as semi-structured expert interviews with representatives of central actors in Germany were conducted. The understanding of “unusual biological incident” was not consistent among experts; four approaches to qualify a biological incident as “unusual” were identified. These were merged in a comprehensive system-oriented approach that focuses on the health system’s resilience and on shortages of knowledge and material resources during incidents. Based on this approach, we suggest a stage model for the categorization of biological threats as “incident,” “crisis,” “severe crisis,” or “disaster.” The need for central coordination is a defining characteristic to qualify a biological incident as “unusual.” Based on the identified shortages, the necessary response strategies can be derived.","Sachse, Sven; Hunger, Iris",Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7080037/,290
5088,Inhibitory zinc sites in enzymes,2013-03-01,"Does society benefit from encouraging or discouraging private infectious disease-risk mitigation? Private individuals routinely mitigate infectious disease risks through the adoption of a range of precautions, from vaccination to changes in their contact with others. Such precautions have epidemiological consequences. Private disease-risk mitigation generally reduces both peak prevalence of symptomatic infection and the number of people who fall ill. At the same time, however, it can prolong an epidemic. A reduction in prevalence is socially beneficial. Prolongation of an epidemic is not. We find that for a large class of infectious diseases, private risk mitigation is socially suboptimal—either too low or too high. The social optimum requires either more or less private mitigation. Since private mitigation effort depends on the cost of mitigation and the cost of illness, interventions that change either of these costs may be used to alter mitigation decisions. We model the potential for instruments that affect the cost of illness to yield net social benefits. We find that where a disease is not very infectious or the duration of illness is short, it may be socially optimal to promote private mitigation effort by increasing the cost of illness. By contrast, where a disease is highly infectious or long lasting, it may be optimal to discourage private mitigation by reducing the cost of disease. Society would prefer a shorter, more intense, epidemic to a longer, less intense epidemic. There is, however, a region in parameter space where the relationship is more complicated. For moderately infectious diseases with medium infectious periods, the social optimum depends on interactions between prevalence and duration. Basic reproduction numbers are not sufficient to predict the social optimum.","Morin, B. R.; Kinzig, A. P.; Levin, S. A.; Perrings, C. A.",Ecohealth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7087673/,290
